label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-high-image-t1.0-n3-opmax,5,0.1735,0.141,0.2103,0.177,0.1429,0.2148,0.1701,0.1378,0.2076,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,10,0.3939,0.3423,0.4482,0.4019,0.3488,0.4568,0.3862,0.3317,0.443,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,15,0.612,0.5599,0.6612,0.6244,0.5718,0.6741,0.6,0.5426,0.6549,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5503080082135524,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,20,0.7245,0.676,0.7692,0.7392,0.6916,0.7843,0.7103,0.6542,0.7615,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,25,0.7784,0.7366,0.8157,0.7943,0.75,0.8344,0.7632,0.7134,0.8065,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,30,0.8019,0.762,0.8359,0.8182,0.7751,0.8556,0.7862,0.7366,0.8268,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,35,0.8136,0.7772,0.8466,0.8301,0.789,0.8668,0.7977,0.7524,0.8369,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,40,0.823,0.7872,0.8552,0.8397,0.7995,0.8756,0.8069,0.7611,0.8451,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,45,0.8394,0.8049,0.869,0.8565,0.8182,0.8899,0.823,0.7775,0.8604,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,50,0.8394,0.8049,0.869,0.8565,0.8182,0.8899,0.823,0.7775,0.8604,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,75,0.8558,0.8239,0.8836,0.8732,0.8364,0.905,0.8391,0.7964,0.8747,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,100,0.8605,0.8296,0.8871,0.878,0.8421,0.9093,0.8437,0.803,0.8788,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,125,0.8605,0.8296,0.8871,0.878,0.8421,0.9093,0.8437,0.803,0.8788,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-high-image-t1.0-n3-opmax,150,0.8605,0.8296,0.8871,0.878,0.8421,0.9093,0.8437,0.803,0.8788,0.8294,0.7769,0.8738,0.8603,0.9612,0.8294,0.8602,0.9613,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
