label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-high-text-t0.7-n1-opmax,5,0.2781,0.2363,0.3251,0.2694,0.2276,0.3176,0.2874,0.2432,0.3356,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5092402464065708,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,10,0.594,0.5436,0.6443,0.5754,0.522,0.6296,0.6138,0.5608,0.6659,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5277207392197125,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,15,0.7631,0.7199,0.8036,0.7392,0.6882,0.7857,0.7885,0.7426,0.8299,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,20,0.8009,0.76,0.838,0.7759,0.7279,0.8204,0.8276,0.7844,0.8656,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,25,0.8343,0.799,0.8667,0.8082,0.7631,0.8476,0.8621,0.8229,0.8957,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,30,0.8521,0.8183,0.8817,0.8254,0.7822,0.8643,0.8805,0.8435,0.9116,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,35,0.8654,0.8316,0.8945,0.8384,0.7944,0.8761,0.8943,0.8568,0.9239,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,40,0.8699,0.837,0.8977,0.8427,0.7995,0.8793,0.8989,0.8621,0.9284,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,45,0.8699,0.837,0.8977,0.8427,0.7995,0.8793,0.8989,0.8621,0.9284,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,50,0.8699,0.837,0.8977,0.8427,0.7995,0.8793,0.8989,0.8621,0.9284,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,75,0.8765,0.8447,0.9034,0.8491,0.8066,0.885,0.9057,0.869,0.9353,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,100,0.8788,0.8472,0.9051,0.8513,0.8089,0.8869,0.908,0.8716,0.9372,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,125,0.8788,0.8472,0.9051,0.8513,0.8089,0.8869,0.908,0.8716,0.9372,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
pv-high-text-t0.7-n1-opmax,150,0.8788,0.8472,0.9051,0.8513,0.8089,0.8869,0.908,0.8716,0.9372,0.7737,0.7132,0.8243,0.8515,0.9186,0.7738,0.8516,0.9186,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
