label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-high-text-t1.0-n3-carried-p0.15-k3,5,0.356,0.3128,0.4017,0.4017,0.3548,0.4521,0.3195,0.2767,0.3656,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,10,0.694,0.6465,0.7375,0.7832,0.7358,0.8261,0.623,0.5675,0.6753,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,15,0.7862,0.7425,0.8238,0.8873,0.849,0.9185,0.7057,0.6483,0.7551,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,20,0.822,0.7818,0.8564,0.9277,0.8916,0.9532,0.7379,0.6819,0.7869,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,25,0.8348,0.7947,0.8681,0.9422,0.9098,0.9653,0.7494,0.6923,0.7981,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,30,0.8451,0.8073,0.876,0.9538,0.9246,0.9733,0.7586,0.7026,0.8061,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,35,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,40,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,45,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,50,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,75,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,100,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,125,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
pv-high-text-t1.0-n3-carried-p0.15-k3,150,0.8476,0.8106,0.8787,0.9566,0.9281,0.9756,0.7609,0.7054,0.8085,0.7443,0.6897,0.7949,0.7205,0.9884,0.7442,0.7204,0.9883,sparse_cross_grid,False,0.5872689938398358,487,zero_fraction_heuristic,
