label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-min-image-t0.3-n1-opmax,5,0.1691,0.133,0.2101,0.1682,0.1325,0.2091,0.1701,0.133,0.2115,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5256673511293635,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,10,0.4663,0.4173,0.5155,0.4636,0.415,0.5137,0.469,0.4169,0.5207,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5318275154004107,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,15,0.6811,0.6333,0.7245,0.6773,0.6279,0.7213,0.6851,0.631,0.7332,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,20,0.768,0.7219,0.8056,0.7636,0.7137,0.8045,0.7724,0.7212,0.8156,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,25,0.8114,0.7721,0.8444,0.8068,0.7632,0.8437,0.8161,0.7688,0.8545,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,30,0.8366,0.8005,0.8666,0.8318,0.791,0.8668,0.8414,0.7969,0.8766,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,35,0.8571,0.8231,0.8854,0.8523,0.8135,0.8859,0.8621,0.8175,0.8959,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,40,0.8617,0.8276,0.8891,0.8568,0.8182,0.8907,0.8667,0.8222,0.9006,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,45,0.864,0.8324,0.8909,0.8591,0.8207,0.8927,0.869,0.8286,0.9018,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,50,0.8663,0.8352,0.8928,0.8614,0.8225,0.8948,0.8713,0.8312,0.9035,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,75,0.8709,0.8399,0.8968,0.8659,0.8276,0.8983,0.8759,0.8355,0.9082,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,100,0.8777,0.8477,0.9019,0.8727,0.8348,0.9043,0.8828,0.8444,0.9133,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,125,0.88,0.85,0.9041,0.875,0.8373,0.9065,0.8851,0.8467,0.9155,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-min-image-t0.3-n1-opmax,150,0.88,0.85,0.9041,0.875,0.8373,0.9065,0.8851,0.8467,0.9155,0.8443,0.7906,0.8869,0.8865,0.9535,0.8442,0.8864,0.9534,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
