label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-min-text-t0.7-n1-opmax,5,0.3486,0.3021,0.3974,0.3575,0.3079,0.4085,0.3402,0.2942,0.3895,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,10,0.6902,0.6413,0.7352,0.7077,0.6547,0.755,0.6736,0.6226,0.7219,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,15,0.8151,0.7749,0.8504,0.8357,0.789,0.8744,0.7954,0.7517,0.8358,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,20,0.8575,0.8238,0.8868,0.8792,0.8402,0.912,0.8368,0.7972,0.873,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,25,0.8787,0.8482,0.9041,0.901,0.863,0.9297,0.8575,0.8188,0.8904,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,30,0.8881,0.8605,0.9114,0.9106,0.8741,0.9373,0.8667,0.8301,0.8982,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,35,0.8952,0.8697,0.9173,0.9179,0.8828,0.9431,0.8736,0.8383,0.9041,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,40,0.9022,0.879,0.9229,0.9251,0.8914,0.9491,0.8805,0.8463,0.9097,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,45,0.9046,0.8815,0.9249,0.9275,0.8942,0.9512,0.8828,0.8487,0.9121,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,50,0.9046,0.8815,0.9249,0.9275,0.8942,0.9512,0.8828,0.8487,0.9121,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,75,0.9046,0.8815,0.9249,0.9275,0.8942,0.9512,0.8828,0.8487,0.9121,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,100,0.9093,0.8858,0.9297,0.9324,0.8991,0.9558,0.8874,0.8534,0.9168,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,125,0.9117,0.8888,0.9319,0.9348,0.9021,0.9579,0.8897,0.8556,0.9192,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-min-text-t0.7-n1-opmax,150,0.9117,0.8888,0.9319,0.9348,0.9021,0.9579,0.8897,0.8556,0.9192,0.7881,0.7318,0.8359,0.8079,0.9651,0.7881,0.8078,0.9652,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
