label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-min-text-t1.0-n3-carried-p0.15-k3,5,0.3545,0.3062,0.4056,0.4053,0.3517,0.461,0.3149,0.267,0.3652,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,10,0.6908,0.6406,0.7362,0.7899,0.7376,0.8342,0.6138,0.555,0.6682,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,15,0.7969,0.7484,0.8353,0.9112,0.8665,0.9413,0.708,0.6462,0.7606,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,20,0.8279,0.7857,0.8626,0.9467,0.9128,0.9685,0.7356,0.6758,0.7855,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,25,0.8357,0.7953,0.8683,0.9556,0.9259,0.9749,0.7425,0.6827,0.7914,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,30,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,35,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,40,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,45,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,50,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,75,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,100,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,125,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n3-carried-p0.15-k3,150,0.8409,0.8006,0.8722,0.9615,0.9337,0.9793,0.7471,0.6868,0.7951,0.7413,0.6847,0.7923,0.7293,0.9806,0.7412,0.7292,0.9806,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
