label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-scale4-optimal-n3-opmax,5,0.1488,0.1178,0.1856,0.1529,0.1215,0.1916,0.1448,0.1135,0.182,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,10,0.4439,0.3913,0.4982,0.4563,0.4039,0.5106,0.4322,0.3765,0.4903,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,15,0.6139,0.5631,0.6641,0.6311,0.5805,0.6821,0.5977,0.5405,0.6534,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,20,0.7296,0.6854,0.7715,0.75,0.7065,0.7911,0.7103,0.6565,0.7603,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,25,0.7769,0.7358,0.8141,0.7985,0.7569,0.8356,0.7563,0.7048,0.8015,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,30,0.8005,0.7617,0.8353,0.8228,0.7837,0.8568,0.7793,0.7279,0.8234,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,35,0.817,0.7797,0.8505,0.8398,0.8011,0.8726,0.7954,0.7453,0.8381,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,40,0.8194,0.782,0.852,0.8422,0.8034,0.875,0.7977,0.748,0.8394,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,45,0.8288,0.7941,0.8597,0.8519,0.8145,0.8832,0.8069,0.7589,0.8475,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,50,0.8335,0.8001,0.8639,0.8568,0.8202,0.8878,0.8115,0.7638,0.8508,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,75,0.8453,0.814,0.8733,0.8689,0.8337,0.8977,0.823,0.7772,0.8614,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,100,0.8524,0.8214,0.8804,0.8762,0.8414,0.905,0.8299,0.784,0.8674,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,125,0.8571,0.8275,0.885,0.8811,0.8463,0.9093,0.8345,0.7891,0.8713,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-scale4-optimal-n3-opmax,150,0.8571,0.8275,0.885,0.8811,0.8463,0.9093,0.8345,0.7891,0.8713,0.8443,0.7956,0.8863,0.8515,0.9806,0.8443,0.8516,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
