label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-high-image-t0.7-n10-carried-p0.15-k10,5,0.158,0.1176,0.2047,0.2525,0.189,0.3238,0.1149,0.0843,0.1517,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,10,0.4076,0.3509,0.4656,0.6515,0.5789,0.7198,0.2966,0.2471,0.3502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,15,0.534,0.4728,0.5922,0.8535,0.7959,0.9,0.3885,0.3298,0.4474,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,20,0.575,0.5119,0.6322,0.9192,0.8652,0.9539,0.4184,0.357,0.4784,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,25,0.594,0.5329,0.6486,0.9495,0.9044,0.9758,0.4322,0.3713,0.4916,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,30,0.6035,0.5432,0.6594,0.9646,0.9223,0.9857,0.4391,0.3783,0.5,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,35,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,40,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,45,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,50,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,75,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,100,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,125,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-image-t0.7-n10-carried-p0.15-k10,150,0.6066,0.5469,0.6624,0.9697,0.9287,0.9898,0.4414,0.3809,0.502,0.6253,0.5692,0.6796,0.5633,0.9922,0.6255,0.5638,0.9922,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
