label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-high-text-t0.3-n5-carried-p0.15-k5,5,0.3387,0.2922,0.3862,0.3663,0.3162,0.4177,0.3149,0.2691,0.3621,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,10,0.6972,0.6514,0.7426,0.754,0.7059,0.799,0.6483,0.5956,0.6997,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,15,0.8356,0.8005,0.8666,0.9037,0.8674,0.933,0.777,0.7287,0.8182,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,20,0.8702,0.8369,0.8972,0.9412,0.9096,0.9637,0.8092,0.7613,0.8491,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,25,0.8801,0.8475,0.9055,0.9519,0.9231,0.972,0.8184,0.7705,0.8575,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,30,0.885,0.8534,0.9095,0.9572,0.9292,0.976,0.823,0.7748,0.8611,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,35,0.8875,0.8572,0.9116,0.9599,0.9319,0.9781,0.8253,0.7775,0.8632,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,40,0.8875,0.8572,0.9116,0.9599,0.9319,0.9781,0.8253,0.7775,0.8632,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,45,0.89,0.8604,0.9136,0.9626,0.9349,0.9803,0.8276,0.7805,0.8653,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,50,0.89,0.8604,0.9136,0.9626,0.9349,0.9803,0.8276,0.7805,0.8653,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,75,0.8925,0.8634,0.9162,0.9652,0.9375,0.9822,0.8299,0.7829,0.8675,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,100,0.8925,0.8634,0.9162,0.9652,0.9375,0.9822,0.8299,0.7829,0.8675,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,125,0.8925,0.8634,0.9162,0.9652,0.9375,0.9822,0.8299,0.7829,0.8675,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-high-text-t0.3-n5-carried-p0.15-k5,150,0.8925,0.8634,0.9162,0.9652,0.9375,0.9822,0.8299,0.7829,0.8675,0.7642,0.7095,0.8127,0.7511,0.9845,0.7644,0.7514,0.9844,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
