label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-min-image-t0.7-n5-carried-p0.15-k5,5,0.1965,0.1587,0.2447,0.2327,0.187,0.2895,0.1701,0.1364,0.2136,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,10,0.4967,0.445,0.552,0.5881,0.5314,0.6458,0.4299,0.3791,0.4868,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,15,0.6428,0.5931,0.6915,0.761,0.7065,0.8082,0.5563,0.5043,0.6114,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,20,0.7357,0.6922,0.7778,0.8711,0.8245,0.9077,0.6368,0.5845,0.6874,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,25,0.7835,0.7432,0.8215,0.9277,0.89,0.9554,0.6782,0.625,0.7279,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,30,0.7888,0.749,0.8257,0.934,0.8973,0.96,0.6828,0.6292,0.732,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,35,0.7942,0.7552,0.8304,0.9403,0.9048,0.9655,0.6874,0.6346,0.7368,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,40,0.8021,0.7632,0.8384,0.9497,0.9155,0.9733,0.6943,0.6406,0.7434,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,45,0.8021,0.7632,0.8384,0.9497,0.9155,0.9733,0.6943,0.6406,0.7434,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,50,0.8021,0.7632,0.8384,0.9497,0.9155,0.9733,0.6943,0.6406,0.7434,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,75,0.8048,0.7661,0.8402,0.9528,0.9181,0.9757,0.6966,0.6432,0.7454,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,100,0.8048,0.7661,0.8402,0.9528,0.9181,0.9757,0.6966,0.6432,0.7454,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,125,0.8048,0.7661,0.8402,0.9528,0.9181,0.9757,0.6966,0.6432,0.7454,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-min-image-t0.7-n5-carried-p0.15-k5,150,0.8048,0.7661,0.8402,0.9528,0.9181,0.9757,0.6966,0.6432,0.7454,0.7593,0.7024,0.809,0.7511,0.9806,0.7591,0.751,0.9806,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
