label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-min-text-t1.0-n5-carried-p0.15-k5,5,0.3787,0.3266,0.4333,0.4508,0.3914,0.5131,0.3264,0.2763,0.3798,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,10,0.7067,0.6548,0.7533,0.8413,0.7922,0.8824,0.6092,0.5481,0.6659,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,15,0.7867,0.7408,0.8256,0.9365,0.8997,0.9618,0.6782,0.6172,0.7321,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,20,0.8107,0.7658,0.8476,0.9651,0.9346,0.9828,0.6989,0.6376,0.7524,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,25,0.8133,0.769,0.8495,0.9683,0.9393,0.9852,0.7011,0.6404,0.7545,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5893223819301848,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,30,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,35,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,40,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,45,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,50,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,75,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,100,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,125,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
pv-min-text-t1.0-n5-carried-p0.15-k5,150,0.8187,0.7757,0.8545,0.9746,0.9466,0.9896,0.7057,0.6449,0.7584,0.6987,0.6405,0.7528,0.6769,0.9806,0.6985,0.6768,0.9805,sparse_cross_grid,False,0.5913757700205339,487,zero_fraction_heuristic,
