label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-scale4-optimal-n5-carried-p0.15-k5,5,0.1543,0.1183,0.1997,0.2176,0.1667,0.2774,0.1195,0.0905,0.1572,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,10,0.3976,0.3412,0.4557,0.5607,0.4929,0.6267,0.308,0.2568,0.3632,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,15,0.5608,0.5031,0.6189,0.7908,0.7308,0.8428,0.4345,0.3765,0.4954,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,20,0.635,0.5774,0.6885,0.8954,0.8498,0.9312,0.492,0.4292,0.5529,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,25,0.6528,0.595,0.7044,0.9205,0.8773,0.952,0.5057,0.4422,0.5665,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,30,0.6647,0.607,0.716,0.9372,0.898,0.9644,0.5149,0.4507,0.5766,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,35,0.6706,0.6132,0.7233,0.9456,0.9073,0.9712,0.5195,0.4545,0.5822,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,40,0.6706,0.6132,0.7233,0.9456,0.9073,0.9712,0.5195,0.4545,0.5822,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,45,0.6736,0.6167,0.7264,0.9498,0.9119,0.9741,0.5218,0.4573,0.5846,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,50,0.6736,0.6167,0.7264,0.9498,0.9119,0.9741,0.5218,0.4573,0.5846,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,75,0.6766,0.6197,0.7292,0.954,0.9181,0.9775,0.5241,0.4597,0.587,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,100,0.6766,0.6197,0.7292,0.954,0.9181,0.9775,0.5241,0.4597,0.587,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,125,0.6766,0.6197,0.7292,0.954,0.9181,0.9775,0.5241,0.4597,0.587,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-scale4-optimal-n5-carried-p0.15-k5,150,0.6766,0.6197,0.7292,0.954,0.9181,0.9775,0.5241,0.4597,0.587,0.6629,0.6076,0.7151,0.6114,0.9922,0.6628,0.6115,0.9922,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
