label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
g37-text-k10-verified-opmax,5,0.5524,0.5048,0.601,0.5603,0.5124,0.6099,0.5448,0.4954,0.5944,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,10,0.8392,0.8033,0.8705,0.8511,0.8132,0.884,0.8276,0.7855,0.864,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,15,0.8928,0.8614,0.9174,0.9054,0.8722,0.9317,0.8805,0.84,0.9111,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,20,0.9068,0.8783,0.9293,0.9196,0.8886,0.9436,0.8943,0.8553,0.9237,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,25,0.9207,0.8956,0.9405,0.9338,0.906,0.9551,0.908,0.8698,0.9358,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,30,0.9254,0.9009,0.9445,0.9385,0.9109,0.9596,0.9126,0.8747,0.9401,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,35,0.9301,0.9062,0.9481,0.9433,0.9158,0.9631,0.9172,0.88,0.9437,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,40,0.9301,0.9062,0.9481,0.9433,0.9158,0.9631,0.9172,0.88,0.9437,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,45,0.9301,0.9062,0.9481,0.9433,0.9158,0.9631,0.9172,0.88,0.9437,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,50,0.9301,0.9062,0.9481,0.9433,0.9158,0.9631,0.9172,0.88,0.9437,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,75,0.9301,0.9062,0.9481,0.9433,0.9158,0.9631,0.9172,0.88,0.9437,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,100,0.9324,0.9098,0.9502,0.9456,0.9199,0.9648,0.9195,0.8822,0.9459,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,125,0.9324,0.9098,0.9502,0.9456,0.9199,0.9648,0.9195,0.8822,0.9459,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
g37-text-k10-verified-opmax,150,0.9324,0.9098,0.9502,0.9456,0.9199,0.9648,0.9195,0.8822,0.9459,0.7675,0.71,0.8189,0.7948,0.9574,0.7673,0.7945,0.9574,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
