label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,5,0.5651,0.5173,0.6121,0.5718,0.5247,0.6218,0.5586,0.5093,0.6086,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,10,0.8605,0.8212,0.892,0.8706,0.8303,0.9035,0.8506,0.8035,0.8877,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,15,0.914,0.8851,0.9365,0.9247,0.8917,0.9486,0.9034,0.8629,0.9333,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,20,0.9233,0.8963,0.9439,0.9341,0.9028,0.9564,0.9126,0.872,0.9405,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,25,0.9279,0.9019,0.9475,0.9388,0.9069,0.96,0.9172,0.8778,0.9443,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,30,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,35,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,40,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,45,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,50,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,75,0.9326,0.9072,0.9511,0.9435,0.9125,0.9641,0.9218,0.8824,0.9483,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,100,0.9349,0.9111,0.9526,0.9459,0.9182,0.9655,0.9241,0.8848,0.9502,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,125,0.9349,0.9111,0.9526,0.9459,0.9182,0.9655,0.9241,0.8848,0.9502,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
gemini37-image-gs-2026-09-01__g37-image-k5-verified-swap37-p0_90-k5,150,0.9349,0.9111,0.9526,0.9459,0.9182,0.9655,0.9241,0.8848,0.9502,0.8264,0.7755,0.8698,0.8253,0.9845,0.8261,0.825,0.9845,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
