label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-image-t1_0-n5-opmax,5,0.1633,0.1329,0.1978,0.1683,0.1364,0.2035,0.1586,0.1284,0.1937,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,10,0.4284,0.3789,0.4792,0.4415,0.39,0.4924,0.4161,0.3638,0.4706,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,15,0.6462,0.5964,0.693,0.6659,0.6152,0.7127,0.6276,0.5697,0.6796,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,20,0.7337,0.6865,0.7754,0.7561,0.709,0.7986,0.7126,0.6553,0.7606,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,25,0.7858,0.7454,0.8201,0.8098,0.7665,0.8473,0.7632,0.7126,0.8052,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,30,0.8118,0.7733,0.8437,0.8366,0.7951,0.8718,0.7885,0.7392,0.8287,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,35,0.8331,0.7982,0.8625,0.8585,0.8205,0.8916,0.8092,0.7608,0.8475,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,40,0.845,0.8103,0.8734,0.8707,0.8338,0.9026,0.8207,0.7712,0.8592,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,45,0.8521,0.8171,0.88,0.878,0.8418,0.9095,0.8276,0.778,0.8654,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,50,0.8615,0.8286,0.8877,0.8878,0.853,0.9167,0.8368,0.7876,0.8732,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,75,0.8734,0.8412,0.8981,0.9,0.8653,0.9278,0.8483,0.798,0.8827,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,100,0.8757,0.8439,0.9002,0.9024,0.8683,0.9301,0.8506,0.8004,0.8849,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,125,0.8757,0.8439,0.9002,0.9024,0.8683,0.9301,0.8506,0.8004,0.8849,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t1_0-n5-opmax,150,0.8757,0.8439,0.9002,0.9024,0.8683,0.9301,0.8506,0.8004,0.8849,0.823,0.769,0.8682,0.8428,0.969,0.8232,0.8429,0.9691,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
