label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-text-t0_7-n10-opmax,5,0.3202,0.2765,0.3662,0.3448,0.2975,0.3931,0.2989,0.256,0.3451,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,10,0.7217,0.6787,0.7623,0.7772,0.7302,0.8206,0.6736,0.6233,0.7185,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,15,0.8399,0.8039,0.871,0.9045,0.869,0.934,0.7839,0.7356,0.8252,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,20,0.8744,0.844,0.8998,0.9416,0.9133,0.9632,0.8161,0.7711,0.8539,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,25,0.8768,0.8465,0.9017,0.9443,0.916,0.965,0.8184,0.7731,0.8559,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,30,0.8892,0.8603,0.9122,0.9576,0.9311,0.9757,0.8299,0.784,0.8657,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,35,0.8892,0.8603,0.9122,0.9576,0.9311,0.9757,0.8299,0.784,0.8657,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,40,0.8892,0.8603,0.9122,0.9576,0.9311,0.9757,0.8299,0.784,0.8657,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,45,0.8892,0.8603,0.9122,0.9576,0.9311,0.9757,0.8299,0.784,0.8657,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,50,0.8892,0.8603,0.9122,0.9576,0.9311,0.9757,0.8299,0.784,0.8657,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,75,0.8916,0.8631,0.9144,0.9602,0.9339,0.9777,0.8322,0.7863,0.8679,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,100,0.8916,0.8631,0.9144,0.9602,0.9339,0.9777,0.8322,0.7863,0.8679,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,125,0.8916,0.8631,0.9144,0.9602,0.9339,0.9777,0.8322,0.7863,0.8679,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t0_7-n10-opmax,150,0.8916,0.8631,0.9144,0.9602,0.9339,0.9777,0.8322,0.7863,0.8679,0.7641,0.7087,0.815,0.7686,0.9729,0.7639,0.7684,0.9728,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
