label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-image-t0_3-n10-opmax,5,0.1716,0.1365,0.2122,0.1782,0.1418,0.2212,0.1655,0.1313,0.2055,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,10,0.4744,0.4224,0.5271,0.4926,0.4394,0.5465,0.4575,0.4033,0.5131,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,15,0.6841,0.6318,0.7284,0.7104,0.657,0.7552,0.6598,0.6023,0.711,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5503080082135524,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,20,0.7819,0.7387,0.8177,0.8119,0.7662,0.8493,0.754,0.7019,0.799,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5523613963039015,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,25,0.8248,0.786,0.8564,0.8564,0.8166,0.8899,0.7954,0.7448,0.8369,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,30,0.8534,0.8193,0.882,0.8861,0.8496,0.9159,0.823,0.7747,0.8617,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,35,0.8605,0.8278,0.8882,0.8936,0.8583,0.9222,0.8299,0.7825,0.8675,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,40,0.8629,0.8307,0.89,0.896,0.8608,0.9247,0.8322,0.7848,0.8696,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,45,0.8629,0.8307,0.89,0.896,0.8608,0.9247,0.8322,0.7848,0.8696,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,50,0.8677,0.8354,0.8944,0.901,0.8662,0.9295,0.8368,0.7902,0.8742,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,75,0.8701,0.838,0.8965,0.9035,0.8685,0.9315,0.8391,0.7913,0.8759,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,100,0.8701,0.838,0.8965,0.9035,0.8685,0.9315,0.8391,0.7913,0.8759,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,125,0.8725,0.8406,0.8984,0.9059,0.8707,0.9333,0.8414,0.7943,0.8785,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t0_3-n10-opmax,150,0.8749,0.8436,0.9002,0.9084,0.8744,0.935,0.8437,0.7967,0.8804,0.8377,0.787,0.8813,0.8646,0.9651,0.8377,0.8647,0.965,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
