label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-text-t1_0-n10-opmax,5,0.4024,0.3541,0.4526,0.4228,0.372,0.4758,0.3839,0.3354,0.4347,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,10,0.7518,0.7066,0.7942,0.7899,0.7416,0.8333,0.7172,0.6659,0.7653,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,15,0.8482,0.8126,0.878,0.8911,0.8528,0.9211,0.8092,0.7628,0.8472,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,20,0.8771,0.8468,0.9021,0.9215,0.8881,0.9459,0.8368,0.7931,0.8721,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,25,0.8892,0.86,0.9129,0.9342,0.9028,0.9567,0.8483,0.8051,0.8826,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,30,0.8916,0.8633,0.9146,0.9367,0.9062,0.959,0.8506,0.8077,0.8841,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,35,0.8964,0.8678,0.9182,0.9418,0.9114,0.9633,0.8552,0.8124,0.8884,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,40,0.8964,0.8678,0.9182,0.9418,0.9114,0.9633,0.8552,0.8124,0.8884,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,45,0.8964,0.8678,0.9182,0.9418,0.9114,0.9633,0.8552,0.8124,0.8884,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,50,0.8964,0.8678,0.9182,0.9418,0.9114,0.9633,0.8552,0.8124,0.8884,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,75,0.8988,0.8714,0.9198,0.9443,0.9151,0.9646,0.8575,0.8142,0.8901,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,100,0.8988,0.8714,0.9198,0.9443,0.9151,0.9646,0.8575,0.8142,0.8901,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,125,0.8988,0.8714,0.9198,0.9443,0.9151,0.9646,0.8575,0.8142,0.8901,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t1_0-n10-opmax,150,0.8988,0.8714,0.9198,0.9443,0.9151,0.9646,0.8575,0.8142,0.8901,0.7815,0.7248,0.8312,0.7948,0.969,0.7812,0.7946,0.9689,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
