label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
flash35-pv-2x2__f35prop-f3vf-4of10-g2,5,0.4697,0.4121,0.5088,0.508,0.443,0.5485,0.4368,0.392,0.4846,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,10,0.754,0.703,0.8015,0.8155,0.7674,0.8529,0.7011,0.6415,0.7611,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,15,0.8183,0.7767,0.8528,0.885,0.8481,0.9207,0.7609,0.7056,0.8143,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,20,0.848,0.8103,0.8763,0.9171,0.8833,0.942,0.7885,0.733,0.8346,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,25,0.8504,0.8134,0.881,0.9198,0.8859,0.9449,0.7908,0.7373,0.8407,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,30,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,35,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,40,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,45,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,50,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,75,0.8578,0.8238,0.8844,0.9278,0.8947,0.9521,0.7977,0.7509,0.8468,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,100,0.8603,0.8251,0.885,0.9305,0.8971,0.9551,0.8,0.7551,0.8473,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,125,0.8603,0.8251,0.885,0.9305,0.8971,0.9551,0.8,0.7551,0.8473,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
flash35-pv-2x2__f35prop-f3vf-4of10-g2,150,0.8603,0.8251,0.885,0.9305,0.8971,0.9551,0.8,0.7551,0.8473,0.7675,0.7073,0.8146,0.7948,0.9574,0.7635,0.7916,0.9566,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
