label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,5,0.2446,0.1885,0.2879,0.3269,0.2487,0.3966,0.1954,0.1496,0.243,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5338809034907598,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,10,0.4288,0.3499,0.4921,0.5731,0.4386,0.6753,0.3425,0.2772,0.3969,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,15,0.4748,0.392,0.5303,0.6346,0.4817,0.7343,0.3793,0.3062,0.4335,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,20,0.495,0.4037,0.5545,0.6615,0.4906,0.7599,0.3954,0.3162,0.4514,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,25,0.5007,0.3999,0.5588,0.6692,0.4908,0.773,0.4,0.3227,0.4552,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,30,0.5065,0.4103,0.5663,0.6769,0.4922,0.7775,0.4046,0.3277,0.4623,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,35,0.5065,0.4103,0.5663,0.6769,0.4922,0.7775,0.4046,0.3277,0.4623,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,40,0.5094,0.4218,0.5746,0.6808,0.4971,0.7816,0.4069,0.3303,0.4668,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,45,0.5094,0.4218,0.5746,0.6808,0.4971,0.7816,0.4069,0.3303,0.4668,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,50,0.5122,0.4204,0.5759,0.6846,0.4974,0.7865,0.4092,0.3318,0.4724,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,75,0.5122,0.4204,0.5759,0.6846,0.4974,0.7865,0.4092,0.3318,0.4724,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,100,0.518,0.4336,0.578,0.6923,0.5091,0.7964,0.4138,0.3417,0.4794,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,125,0.518,0.4336,0.578,0.6923,0.5091,0.7964,0.4138,0.3417,0.4794,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
proposer-verifier-384__verified-cascade-checklist-adversarial-g2,150,0.518,0.4336,0.578,0.6923,0.5091,0.7964,0.4138,0.3417,0.4794,0.4121,0.3367,0.4848,0.4323,0.9225,0.4139,0.4349,0.9225,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
