label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
proposer-verifier-384__verified-checklist-image-g2,5,0.2707,0.2109,0.3258,0.316,0.2466,0.386,0.2368,0.1886,0.2946,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5051334702258727,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,10,0.4652,0.387,0.5285,0.5429,0.4259,0.6276,0.4069,0.331,0.4749,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5092402464065708,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,15,0.5125,0.4268,0.5701,0.5982,0.4621,0.6851,0.4483,0.3681,0.5123,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,20,0.5309,0.4449,0.5946,0.6196,0.4807,0.7046,0.4644,0.3824,0.5358,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,25,0.5361,0.4499,0.6043,0.6258,0.4804,0.7118,0.469,0.3855,0.5412,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,30,0.5414,0.4538,0.6078,0.6319,0.4829,0.7186,0.4736,0.3905,0.5444,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,35,0.5414,0.4538,0.6078,0.6319,0.4829,0.7186,0.4736,0.3905,0.5444,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,40,0.544,0.4579,0.6089,0.635,0.4855,0.7246,0.4759,0.3929,0.5477,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,45,0.544,0.4579,0.6089,0.635,0.4855,0.7246,0.4759,0.3929,0.5477,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,50,0.5466,0.4618,0.6123,0.638,0.4858,0.7278,0.4782,0.3952,0.552,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,75,0.5466,0.4618,0.6123,0.638,0.4858,0.7278,0.4782,0.3952,0.552,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,100,0.5519,0.4713,0.6177,0.6442,0.4966,0.7317,0.4828,0.3997,0.5568,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,125,0.5519,0.4713,0.6177,0.6442,0.4966,0.7317,0.4828,0.3997,0.5568,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
proposer-verifier-384__verified-checklist-image-g2,150,0.5519,0.4713,0.6177,0.6442,0.4966,0.7317,0.4828,0.3997,0.5568,0.3873,0.2899,0.4595,0.476,0.876,0.3898,0.479,0.876,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
