label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-image-baseline-g2,5,0.1945,0.1545,0.2445,0.18,0.1444,0.2291,0.2115,0.1676,0.2655,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5071868583162218,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,10,0.4968,0.4554,0.5432,0.4599,0.418,0.503,0.5402,0.4929,0.5954,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5092402464065708,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,15,0.6469,0.6012,0.6847,0.5988,0.5499,0.643,0.7034,0.6507,0.7448,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,20,0.7167,0.6743,0.753,0.6634,0.6232,0.7013,0.7793,0.7296,0.822,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,25,0.7569,0.7143,0.7861,0.7006,0.6536,0.7366,0.823,0.7781,0.854,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,30,0.7822,0.7423,0.8111,0.7241,0.6776,0.756,0.8506,0.8057,0.8818,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,35,0.7949,0.7612,0.822,0.7358,0.6916,0.7665,0.8644,0.8281,0.8924,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5112936344969199,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,40,0.7992,0.7654,0.8288,0.7397,0.6944,0.7704,0.869,0.8328,0.9021,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,45,0.8076,0.7758,0.8342,0.7476,0.7034,0.7807,0.8782,0.8469,0.9083,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,50,0.8076,0.7758,0.8342,0.7476,0.7034,0.7807,0.8782,0.8469,0.9083,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,75,0.8161,0.7823,0.8411,0.7554,0.7104,0.7869,0.8874,0.85,0.9144,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,100,0.8182,0.787,0.8416,0.7573,0.7183,0.7908,0.8897,0.857,0.9183,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,125,0.8203,0.7861,0.8437,0.7593,0.7186,0.7915,0.892,0.8594,0.9217,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-baseline-g2,150,0.8203,0.7861,0.8437,0.7593,0.7186,0.7915,0.892,0.8594,0.9217,0.8766,0.8327,0.9215,0.9432,0.9341,0.8754,0.9421,0.9338,sparse_cross_grid,False,0.5133470225872689,487,zero_fraction_heuristic,
