label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,5,0.1727,0.1366,0.2011,0.1805,0.1419,0.2121,0.1655,0.1295,0.1985,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,10,0.5396,0.4776,0.5822,0.5639,0.5071,0.6038,0.5172,0.4459,0.5678,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,15,0.7266,0.6714,0.773,0.7594,0.7116,0.8006,0.6966,0.6175,0.747,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,20,0.7842,0.737,0.8226,0.8195,0.7718,0.8554,0.7517,0.6731,0.7995,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,25,0.7986,0.7525,0.8378,0.8346,0.7935,0.8695,0.7655,0.6893,0.816,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,30,0.801,0.7571,0.842,0.8371,0.7941,0.8697,0.7678,0.6932,0.8167,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,35,0.8106,0.7661,0.8486,0.8471,0.8134,0.8827,0.777,0.7042,0.8228,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,40,0.8129,0.7685,0.8469,0.8496,0.8138,0.8816,0.7793,0.7094,0.8233,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,45,0.8153,0.7695,0.8474,0.8521,0.8169,0.8859,0.7816,0.7078,0.8253,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,50,0.8201,0.7725,0.8526,0.8571,0.8167,0.8901,0.7862,0.7095,0.83,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,75,0.8249,0.7701,0.8564,0.8622,0.8255,0.8975,0.7908,0.7129,0.8369,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,100,0.8249,0.7701,0.8564,0.8622,0.8255,0.8975,0.7908,0.7129,0.8369,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,125,0.8249,0.7701,0.8564,0.8622,0.8255,0.8975,0.7908,0.7129,0.8369,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-medium-vf-g2,150,0.8249,0.7701,0.8564,0.8622,0.8255,0.8975,0.7908,0.7129,0.8369,0.7872,0.7304,0.8378,0.7729,0.9884,0.7872,0.7742,0.9878,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
