label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-text-min-6of10-g2,5,0.4126,0.3613,0.4666,0.437,0.3812,0.4972,0.3908,0.3425,0.449,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5585215605749486,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,10,0.75,0.7167,0.793,0.7943,0.7434,0.8316,0.7103,0.6755,0.767,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,15,0.8422,0.8133,0.8773,0.892,0.854,0.9192,0.7977,0.7656,0.8506,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,20,0.8835,0.8603,0.9101,0.9357,0.9068,0.9573,0.8368,0.7994,0.8782,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,25,0.8932,0.8707,0.9176,0.946,0.9164,0.9634,0.846,0.8115,0.8866,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,30,0.9005,0.8796,0.9237,0.9537,0.9289,0.9699,0.8529,0.8193,0.8937,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,35,0.9005,0.8796,0.9237,0.9537,0.9289,0.9699,0.8529,0.8193,0.8937,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,40,0.9005,0.8796,0.9237,0.9537,0.9289,0.9699,0.8529,0.8193,0.8937,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,45,0.9029,0.8814,0.9255,0.9563,0.932,0.9732,0.8552,0.8214,0.8937,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,50,0.9029,0.8814,0.9255,0.9563,0.932,0.9732,0.8552,0.8214,0.8937,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,75,0.9053,0.8837,0.9282,0.9589,0.9321,0.975,0.8575,0.8239,0.8942,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,100,0.9078,0.8871,0.9295,0.9614,0.9344,0.9769,0.8598,0.8265,0.898,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,125,0.9078,0.8871,0.9295,0.9614,0.9344,0.9769,0.8598,0.8265,0.898,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-6of10-g2,150,0.9078,0.8871,0.9295,0.9614,0.9344,0.9769,0.8598,0.8265,0.898,0.8068,0.7582,0.8523,0.8079,0.9806,0.8056,0.8065,0.9809,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
