label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,5,0.3049,0.2609,0.348,0.3191,0.2764,0.3655,0.292,0.2517,0.336,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5503080082135524,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,10,0.7011,0.6672,0.7459,0.7337,0.6926,0.7729,0.6713,0.6332,0.723,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,15,0.8307,0.7945,0.8642,0.8693,0.8271,0.8957,0.7954,0.756,0.8357,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,20,0.8764,0.8474,0.9008,0.9171,0.8854,0.9352,0.8391,0.7996,0.8748,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,25,0.8908,0.8641,0.9128,0.9322,0.9036,0.9504,0.8529,0.8147,0.8885,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,30,0.9028,0.8759,0.9209,0.9447,0.9177,0.9591,0.8644,0.8254,0.8961,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,35,0.9028,0.8759,0.9209,0.9447,0.9177,0.9591,0.8644,0.8254,0.8961,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,40,0.9028,0.8759,0.9209,0.9447,0.9177,0.9591,0.8644,0.8254,0.8961,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,45,0.9028,0.8759,0.9209,0.9447,0.9177,0.9591,0.8644,0.8254,0.8961,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,50,0.9028,0.8759,0.9209,0.9447,0.9177,0.9591,0.8644,0.8254,0.8961,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,75,0.9052,0.8809,0.9253,0.9472,0.9191,0.9616,0.8667,0.8282,0.9002,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,100,0.9076,0.8838,0.928,0.9497,0.9214,0.964,0.869,0.8298,0.9021,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,125,0.9076,0.8838,0.928,0.9497,0.9214,0.964,0.869,0.8298,0.9021,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-3-high-n5-g2,150,0.9076,0.8838,0.928,0.9497,0.9214,0.964,0.869,0.8298,0.9021,0.789,0.7365,0.8358,0.8035,0.969,0.7865,0.8006,0.9692,sparse_cross_grid,False,0.5770020533880903,487,zero_fraction_heuristic,
