label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,5,0.3064,0.2636,0.351,0.3223,0.2763,0.3644,0.292,0.2517,0.336,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,10,0.6972,0.6619,0.7393,0.7335,0.6873,0.7668,0.6644,0.626,0.7152,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,15,0.8275,0.7918,0.8602,0.8706,0.8338,0.8999,0.7885,0.7491,0.8314,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,20,0.8709,0.8416,0.8981,0.9162,0.8822,0.9389,0.8299,0.7915,0.8665,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,25,0.8854,0.8566,0.9081,0.9315,0.9021,0.9547,0.8437,0.8066,0.8804,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,30,0.8951,0.8679,0.9161,0.9416,0.915,0.963,0.8529,0.8146,0.8882,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,35,0.8951,0.8679,0.9161,0.9416,0.915,0.963,0.8529,0.8146,0.8882,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,40,0.8951,0.8679,0.9161,0.9416,0.915,0.963,0.8529,0.8146,0.8882,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,45,0.8951,0.8679,0.9161,0.9416,0.915,0.963,0.8529,0.8146,0.8882,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,50,0.8951,0.8679,0.9161,0.9416,0.915,0.963,0.8529,0.8146,0.8882,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,75,0.8975,0.8704,0.9183,0.9442,0.9162,0.9636,0.8552,0.8174,0.8903,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,100,0.8999,0.8749,0.9222,0.9467,0.9183,0.9644,0.8575,0.8183,0.8917,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,125,0.8999,0.8749,0.9222,0.9467,0.9183,0.9644,0.8575,0.8183,0.8917,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
verifier-robustness__verified-384-ge3of5-t0-7-n5-g2,150,0.8999,0.8749,0.9222,0.9467,0.9183,0.9644,0.8575,0.8183,0.8917,0.7713,0.7149,0.8226,0.7991,0.9574,0.7682,0.7961,0.9573,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
