label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,5,0.1755,0.1386,0.2259,0.1839,0.1439,0.2436,0.1678,0.1327,0.2131,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5503080082135524,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,10,0.4543,0.4038,0.4975,0.4761,0.429,0.519,0.4345,0.3822,0.4844,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,15,0.6562,0.6147,0.699,0.6877,0.6408,0.733,0.6276,0.5751,0.6732,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,20,0.7428,0.6983,0.7805,0.7783,0.7377,0.8167,0.7103,0.6612,0.7564,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,25,0.8029,0.7684,0.8317,0.8413,0.8046,0.8746,0.7678,0.7186,0.8068,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,30,0.8221,0.7901,0.8496,0.8615,0.832,0.8934,0.7862,0.7434,0.8271,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,35,0.8365,0.8068,0.8652,0.8766,0.8454,0.9078,0.8,0.7522,0.8371,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,40,0.8462,0.8167,0.8741,0.8866,0.8572,0.9167,0.8092,0.7637,0.8453,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,45,0.8534,0.8235,0.8808,0.8942,0.8689,0.9243,0.8161,0.7661,0.8491,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,50,0.8534,0.8235,0.8808,0.8942,0.8689,0.9243,0.8161,0.7661,0.8491,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,75,0.8582,0.8314,0.8863,0.8992,0.8729,0.9289,0.8207,0.7739,0.8523,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,100,0.8606,0.8351,0.8873,0.9018,0.8739,0.9331,0.823,0.7745,0.8546,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,125,0.8606,0.8351,0.8873,0.9018,0.8739,0.9331,0.823,0.7745,0.8546,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1_0-n10-opmax-g2,150,0.863,0.8382,0.889,0.9043,0.8782,0.9361,0.8253,0.7748,0.8551,0.8078,0.7543,0.8514,0.8253,0.969,0.8061,0.824,0.9688,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
