label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,5,0.3868,0.3395,0.4414,0.4136,0.3627,0.4796,0.3632,0.3203,0.4175,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,10,0.7319,0.6876,0.7685,0.7827,0.7381,0.8219,0.6874,0.6439,0.7312,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5790554414784395,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,15,0.8421,0.8072,0.8705,0.9005,0.8602,0.929,0.7908,0.7528,0.8309,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,20,0.8739,0.848,0.8984,0.9346,0.9007,0.9567,0.8207,0.7832,0.8525,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,25,0.8788,0.8528,0.9025,0.9398,0.9064,0.9619,0.8253,0.7865,0.8585,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,30,0.8862,0.8617,0.9111,0.9476,0.9133,0.9708,0.8322,0.7966,0.8629,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,35,0.8911,0.8673,0.9134,0.9529,0.9224,0.9732,0.8368,0.7974,0.8675,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,40,0.8911,0.8673,0.9134,0.9529,0.9224,0.9732,0.8368,0.7974,0.8675,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,45,0.8911,0.8673,0.9134,0.9529,0.9224,0.9732,0.8368,0.7974,0.8675,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,50,0.8911,0.8673,0.9134,0.9529,0.9224,0.9732,0.8368,0.7974,0.8675,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,75,0.8935,0.8739,0.9151,0.9555,0.9325,0.9736,0.8391,0.8021,0.8704,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,100,0.8935,0.8739,0.9151,0.9555,0.9325,0.9736,0.8391,0.8021,0.8704,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,125,0.8935,0.8739,0.9151,0.9555,0.9325,0.9736,0.8391,0.8021,0.8704,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0_7-n5-opmax-g2,150,0.8935,0.8739,0.9151,0.9555,0.9325,0.9736,0.8391,0.8021,0.8704,0.7957,0.7454,0.8362,0.7948,0.9806,0.7942,0.7933,0.9807,sparse_cross_grid,False,0.5852156057494866,487,zero_fraction_heuristic,
