label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__session-78-image-brief-text-opmax-g2,5,0.1779,0.1375,0.2146,0.1838,0.1439,0.224,0.1724,0.1305,0.2057,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,10,0.4721,0.4207,0.5189,0.4877,0.4356,0.538,0.4575,0.4042,0.5083,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,15,0.6714,0.627,0.7102,0.6936,0.6488,0.7307,0.6506,0.6026,0.6991,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5646817248459959,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,20,0.7782,0.737,0.8172,0.8039,0.7632,0.8396,0.754,0.7044,0.8052,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,25,0.8138,0.7792,0.8508,0.8407,0.8074,0.8709,0.7885,0.739,0.8406,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,30,0.8493,0.814,0.8789,0.8775,0.847,0.9066,0.823,0.7761,0.8691,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,35,0.8612,0.8302,0.8902,0.8897,0.8592,0.9164,0.8345,0.7906,0.8809,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,40,0.866,0.8347,0.8977,0.8946,0.8657,0.9267,0.8391,0.7908,0.8873,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,45,0.8707,0.8417,0.9012,0.8995,0.872,0.9283,0.8437,0.795,0.8896,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,50,0.8731,0.8454,0.9041,0.902,0.8727,0.9282,0.846,0.8019,0.8937,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,75,0.8731,0.8454,0.9041,0.902,0.8727,0.9282,0.846,0.8019,0.8937,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,100,0.8731,0.8454,0.9041,0.902,0.8727,0.9282,0.846,0.8019,0.8937,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,125,0.8778,0.8517,0.9054,0.9069,0.8811,0.9316,0.8506,0.8092,0.8987,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
pv-diag-384__session-78-image-brief-text-opmax-g2,150,0.8778,0.8517,0.9054,0.9069,0.8811,0.9316,0.8506,0.8092,0.8987,0.8199,0.7656,0.8672,0.8341,0.9729,0.8163,0.8307,0.9725,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
