label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__session-78-text-comparative-opmax-g2,5,0.3077,0.2645,0.3512,0.3224,0.2766,0.3667,0.2943,0.2541,0.3369,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,10,0.7091,0.6685,0.7534,0.7431,0.7003,0.7824,0.6782,0.6347,0.7267,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,15,0.8389,0.8006,0.8721,0.8791,0.8389,0.9077,0.8023,0.7617,0.8481,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,20,0.8846,0.8548,0.9109,0.927,0.9006,0.9478,0.846,0.8041,0.8814,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,25,0.899,0.8707,0.9202,0.9421,0.9168,0.9615,0.8598,0.8225,0.8961,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,30,0.9111,0.8829,0.9298,0.9547,0.9295,0.9714,0.8713,0.8347,0.9044,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,35,0.9111,0.8829,0.9298,0.9547,0.9295,0.9714,0.8713,0.8347,0.9044,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,40,0.9111,0.8829,0.9298,0.9547,0.9295,0.9714,0.8713,0.8347,0.9044,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,45,0.9111,0.8829,0.9298,0.9547,0.9295,0.9714,0.8713,0.8347,0.9044,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,50,0.9111,0.8829,0.9298,0.9547,0.9295,0.9714,0.8713,0.8347,0.9044,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,75,0.9135,0.8864,0.9335,0.9572,0.9299,0.9728,0.8736,0.8366,0.9051,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,100,0.9159,0.8897,0.9358,0.9597,0.9364,0.9763,0.8759,0.8368,0.9097,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,125,0.9159,0.8897,0.9358,0.9597,0.9364,0.9763,0.8759,0.8368,0.9097,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
pv-diag-384__session-78-text-comparative-opmax-g2,150,0.9159,0.8897,0.9358,0.9597,0.9364,0.9763,0.8759,0.8368,0.9097,0.7947,0.7427,0.847,0.7991,0.9767,0.7911,0.7961,0.9762,sparse_cross_grid,False,0.5831622176591376,487,zero_fraction_heuristic,
