label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase2a__brief-text-image,5,0.1007,0.0772,0.1286,0.0846,0.0643,0.1088,0.1244,0.0949,0.1581,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,10,0.2694,0.2302,0.3136,0.2264,0.1908,0.2669,0.3326,0.2845,0.3848,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,15,0.3987,0.3541,0.4455,0.335,0.2926,0.381,0.4922,0.4382,0.546,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,20,0.5159,0.4693,0.5628,0.4336,0.3869,0.4814,0.6369,0.5812,0.6895,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,25,0.5854,0.5391,0.63,0.4919,0.443,0.541,0.7228,0.6692,0.7706,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,30,0.6237,0.5767,0.6683,0.5242,0.4728,0.574,0.7701,0.7179,0.8144,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,35,0.6523,0.6069,0.6945,0.5481,0.4963,0.5971,0.8053,0.7583,0.8447,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,40,0.6655,0.6211,0.706,0.5592,0.5076,0.6073,0.8215,0.7776,0.8585,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,45,0.6758,0.631,0.7167,0.5679,0.5155,0.6165,0.8343,0.7902,0.8709,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,50,0.6868,0.6424,0.7271,0.5772,0.5242,0.6263,0.8479,0.8063,0.8831,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,75,0.7103,0.6662,0.75,0.5969,0.543,0.6466,0.877,0.8376,0.9088,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,100,0.7185,0.6738,0.758,0.6038,0.5493,0.6542,0.8871,0.8504,0.917,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,125,0.724,0.6797,0.7629,0.6084,0.5534,0.6588,0.8938,0.8601,0.9219,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
retest-phase2a__brief-text-image,150,0.7273,0.6833,0.7657,0.6112,0.5561,0.6613,0.8979,0.8649,0.9254,0.1701,0.0905,0.2355,1.0,0.0465,0.1666,1.0,0.0464,normal,False,0.0,0,,
