label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase2b__image-t0.3,5,0.1318,0.1032,0.1697,0.1122,0.0874,0.1456,0.1595,0.1245,0.2047,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,10,0.3312,0.2884,0.3774,0.2821,0.2433,0.3251,0.4009,0.3485,0.4556,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,15,0.4842,0.4402,0.5282,0.4125,0.3701,0.4571,0.5862,0.5313,0.6366,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,20,0.5697,0.5243,0.6139,0.4852,0.4397,0.5319,0.6897,0.6335,0.7402,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,25,0.6155,0.5702,0.659,0.5242,0.4779,0.5717,0.7451,0.6898,0.7931,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,30,0.6457,0.6027,0.687,0.55,0.5032,0.5962,0.7816,0.731,0.8261,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,35,0.6702,0.63,0.7083,0.5709,0.5248,0.6155,0.8114,0.7668,0.8512,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,40,0.6814,0.6414,0.7191,0.5804,0.5334,0.6255,0.8249,0.7811,0.8624,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,45,0.6953,0.6563,0.7318,0.5923,0.5449,0.6372,0.8418,0.8003,0.8774,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,50,0.7026,0.6639,0.7388,0.5985,0.5509,0.6432,0.8506,0.8101,0.8852,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,75,0.7222,0.6842,0.7581,0.6152,0.5667,0.6604,0.8742,0.8374,0.9054,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,100,0.7266,0.6887,0.7619,0.619,0.5702,0.6645,0.8796,0.8442,0.9095,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,125,0.7311,0.6932,0.7664,0.6228,0.5742,0.6694,0.8851,0.8503,0.9139,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
retest-phase2b__image-t0.3,150,0.7328,0.6952,0.7682,0.6242,0.5757,0.6707,0.8871,0.8523,0.9157,0.1312,0.0519,0.2015,0.9983,0.0328,0.1291,0.9983,0.0328,partial_coverage,True,0.0,0,,
