label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase2b__text-t1.0,5,0.1759,0.1396,0.2161,0.1367,0.1042,0.1724,0.2468,0.2009,0.2969,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,10,0.3668,0.307,0.4251,0.2854,0.2274,0.3421,0.5139,0.4485,0.5765,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,15,0.4673,0.399,0.5282,0.3636,0.2927,0.4268,0.6545,0.5906,0.7106,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,20,0.5242,0.45,0.5856,0.4079,0.33,0.475,0.7343,0.6722,0.7851,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,25,0.5512,0.4748,0.6129,0.4288,0.3478,0.4979,0.7721,0.7123,0.82,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,30,0.5714,0.4936,0.6324,0.4445,0.361,0.514,0.8005,0.7463,0.8447,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,35,0.5835,0.5058,0.6444,0.454,0.3696,0.5241,0.8175,0.7645,0.8592,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,40,0.5902,0.5112,0.6511,0.4591,0.3737,0.5298,0.8269,0.7772,0.8669,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,45,0.5955,0.5157,0.6564,0.4632,0.3772,0.5344,0.8344,0.7856,0.8733,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,50,0.5988,0.5186,0.6598,0.4659,0.3792,0.5369,0.8391,0.7904,0.8776,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,75,0.6041,0.5242,0.6649,0.47,0.3832,0.5414,0.8465,0.7989,0.8838,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,100,0.6056,0.5258,0.666,0.4711,0.384,0.5425,0.8486,0.8033,0.8852,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,125,0.6075,0.5276,0.668,0.4726,0.3853,0.5441,0.8513,0.806,0.888,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
retest-phase2b__text-t1.0,150,0.609,0.529,0.6695,0.4737,0.3861,0.5452,0.8533,0.808,0.8899,0.071,0.0643,0.1358,1.0,0.0027,0.0866,1.0,0.0027,normal,False,0.0,0,,
