label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase2c__text-pure-positive-canon,5,0.263,0.2193,0.3129,0.211,0.172,0.2573,0.3489,0.293,0.4083,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,10,0.4648,0.4045,0.5255,0.373,0.3144,0.4332,0.6166,0.5436,0.6806,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,15,0.552,0.4937,0.6072,0.4429,0.3816,0.5035,0.7323,0.6722,0.7827,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,20,0.5933,0.5333,0.6483,0.4761,0.411,0.5382,0.787,0.7275,0.8346,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,25,0.6193,0.5604,0.6743,0.4969,0.4308,0.5604,0.8215,0.7696,0.8643,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,30,0.633,0.5745,0.6863,0.508,0.4408,0.5721,0.8398,0.7922,0.8777,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,35,0.6391,0.5799,0.6919,0.5129,0.445,0.5763,0.8479,0.8004,0.885,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,40,0.6437,0.5848,0.6965,0.5166,0.449,0.5806,0.854,0.8073,0.8898,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,45,0.6468,0.5871,0.6998,0.519,0.4504,0.5833,0.858,0.8108,0.893,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,50,0.6483,0.5886,0.7009,0.5202,0.4523,0.5846,0.86,0.8122,0.8952,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,75,0.6514,0.5917,0.7038,0.5227,0.4545,0.5871,0.8641,0.8168,0.8992,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,100,0.6529,0.5933,0.7053,0.5239,0.4561,0.5884,0.8661,0.8223,0.9006,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,125,0.6529,0.5933,0.7053,0.5239,0.4561,0.5884,0.8661,0.8223,0.9006,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
retest-phase2c__text-pure-positive-canon,150,0.6544,0.5951,0.7068,0.5252,0.4574,0.5898,0.8682,0.8236,0.9023,,,,1.0,0.0,,1.0,0.0,partial_coverage,True,0.0,315,processed_tiles,1
