label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase2d__image-verbose,5,0.1454,0.118,0.1772,0.1257,0.1011,0.1541,0.1724,0.1397,0.2105,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,10,0.3695,0.3236,0.4195,0.3195,0.2762,0.3676,0.4381,0.3831,0.4956,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,15,0.5269,0.4794,0.5739,0.4556,0.4103,0.5037,0.6247,0.5679,0.6779,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,20,0.5971,0.5512,0.6417,0.5163,0.4681,0.563,0.7079,0.6515,0.7583,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,25,0.6296,0.583,0.6732,0.5444,0.494,0.5914,0.7465,0.6892,0.7958,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,30,0.657,0.6108,0.6991,0.568,0.5194,0.6153,0.7789,0.7236,0.827,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,35,0.6758,0.6324,0.7161,0.5843,0.5368,0.6306,0.8012,0.748,0.847,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,40,0.7015,0.6621,0.7386,0.6065,0.5599,0.652,0.8316,0.7869,0.871,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,45,0.7169,0.6783,0.7522,0.6198,0.5724,0.6649,0.8499,0.8085,0.8864,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,50,0.7186,0.6801,0.7545,0.6213,0.5735,0.6662,0.8519,0.8108,0.8888,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,75,0.7305,0.6927,0.7656,0.6317,0.5835,0.6773,0.8661,0.8273,0.9,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,100,0.7357,0.6976,0.7702,0.6361,0.5863,0.6815,0.8722,0.836,0.9041,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,125,0.7391,0.7011,0.773,0.6391,0.5898,0.6843,0.8763,0.8405,0.9075,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
retest-phase2d__image-verbose,150,0.7408,0.703,0.7743,0.6405,0.5912,0.6854,0.8783,0.8424,0.9093,0.2503,0.1846,0.3275,1.0,0.0984,0.2482,1.0,0.0985,normal,False,0.0380952380952381,315,processed_tiles,0
