label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,5,0.2953,0.2529,0.3407,0.3422,0.2982,0.3887,0.2596,0.2167,0.3069,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.4222222222222222,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,10,0.6067,0.5491,0.6612,0.7032,0.6519,0.7538,0.5335,0.4659,0.5957,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44126984126984126,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,15,0.7313,0.6769,0.7789,0.8476,0.8032,0.8846,0.643,0.5734,0.7036,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.4444444444444444,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,20,0.7774,0.7255,0.8207,0.9011,0.8634,0.931,0.6836,0.614,0.7419,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,25,0.7982,0.7477,0.8392,0.9251,0.8922,0.9502,0.7018,0.6317,0.76,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,30,0.8028,0.7522,0.8433,0.9305,0.8983,0.9545,0.7059,0.6354,0.7639,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,35,0.8097,0.7587,0.8495,0.9385,0.9092,0.9603,0.712,0.6416,0.7701,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,40,0.812,0.7616,0.8515,0.9412,0.9121,0.9626,0.714,0.6441,0.7716,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,45,0.8143,0.7642,0.8534,0.9439,0.9158,0.9648,0.716,0.6456,0.7732,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,50,0.8143,0.7642,0.8534,0.9439,0.9158,0.9648,0.716,0.6456,0.7732,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,75,0.8166,0.7683,0.8548,0.9465,0.9186,0.9668,0.7181,0.6493,0.7741,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,100,0.8166,0.7683,0.8548,0.9465,0.9186,0.9668,0.7181,0.6493,0.7741,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,125,0.8166,0.7683,0.8548,0.9465,0.9186,0.9668,0.7181,0.6493,0.7741,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
retest-phase3a-high__verified-adv-text-high-t1.0-n30-23of30,150,0.8189,0.77,0.8574,0.9492,0.9209,0.9693,0.7201,0.6506,0.7766,0.6571,0.5773,0.7272,0.7306,0.9426,0.6563,0.7301,0.9424,normal,False,0.44761904761904764,315,zero_fraction_heuristic,
