label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,5,0.2904,0.244,0.3448,0.2641,0.2181,0.3187,0.3225,0.2714,0.38,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.13968253968253969,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,10,0.526,0.4659,0.5826,0.4784,0.4131,0.5414,0.5842,0.517,0.6426,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.13968253968253969,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,15,0.6192,0.5573,0.6751,0.5631,0.4932,0.6277,0.6876,0.6182,0.744,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.14285714285714285,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,20,0.6594,0.5955,0.7131,0.5997,0.526,0.665,0.7323,0.663,0.7851,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.14603174603174604,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,25,0.6721,0.6072,0.7259,0.6113,0.5366,0.6768,0.7465,0.6768,0.8,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.14603174603174604,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,30,0.6868,0.622,0.7396,0.6246,0.5496,0.6902,0.7627,0.6941,0.8138,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1492063492063492,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,35,0.6941,0.6293,0.7467,0.6312,0.556,0.6976,0.7708,0.7018,0.8211,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,40,0.6977,0.633,0.7493,0.6346,0.559,0.7007,0.7748,0.7058,0.8245,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,45,0.6995,0.6356,0.7507,0.6362,0.5609,0.7021,0.7769,0.7091,0.8261,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,50,0.7014,0.6371,0.7522,0.6379,0.5622,0.7036,0.7789,0.711,0.8281,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,75,0.7014,0.6371,0.7522,0.6379,0.5622,0.7036,0.7789,0.711,0.8281,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,100,0.7032,0.6387,0.7536,0.6395,0.5637,0.7053,0.7809,0.7135,0.8294,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,125,0.7032,0.6387,0.7536,0.6395,0.5637,0.7053,0.7809,0.7135,0.8294,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
retest-phase3a-replication__text-minimal-t0.7-n5-4of5,150,0.7032,0.6387,0.7536,0.6395,0.5637,0.7053,0.7809,0.7135,0.8294,0.162,0.0508,0.2771,0.8601,0.2705,0.1614,0.8596,0.2707,normal,False,0.1523809523809524,315,zero_fraction_heuristic,
