label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3a__text-t1.0-n30-22of30,5,0.2838,0.2407,0.3312,0.2707,0.2259,0.3196,0.2982,0.2513,0.3501,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.19365079365079366,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,10,0.5367,0.4766,0.5915,0.512,0.4435,0.5753,0.5639,0.4988,0.6228,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.19365079365079366,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,15,0.6274,0.5658,0.6813,0.5985,0.5256,0.6643,0.6592,0.5892,0.7171,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.19682539682539682,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,20,0.6583,0.5979,0.7101,0.628,0.5531,0.6934,0.6917,0.6233,0.7468,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.2,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,25,0.6718,0.6122,0.7226,0.6409,0.5668,0.7062,0.7059,0.6384,0.7596,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.2,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,30,0.6834,0.6245,0.7324,0.6519,0.5775,0.716,0.7181,0.6521,0.7703,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,35,0.6911,0.6317,0.741,0.6593,0.584,0.7246,0.7262,0.6593,0.779,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,40,0.6931,0.6332,0.7426,0.6611,0.5861,0.7264,0.7282,0.661,0.7811,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,45,0.695,0.6364,0.7442,0.663,0.5877,0.7281,0.7302,0.6645,0.783,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,50,0.6969,0.6384,0.7461,0.6648,0.5886,0.729,0.7323,0.6667,0.7853,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,75,0.6969,0.6384,0.7461,0.6648,0.5886,0.729,0.7323,0.6667,0.7853,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,100,0.6969,0.6384,0.7461,0.6648,0.5886,0.729,0.7323,0.6667,0.7853,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,125,0.6969,0.6384,0.7461,0.6648,0.5886,0.729,0.7323,0.6667,0.7853,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
retest-phase3a__text-t1.0-n30-22of30,150,0.6969,0.6384,0.7461,0.6648,0.5886,0.729,0.7323,0.6667,0.7853,0.2686,0.1585,0.3793,0.8446,0.3934,0.2681,0.8441,0.3938,normal,False,0.20317460317460317,315,zero_fraction_heuristic,
