label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3c__image-h9-c-diversity-3of5,5,0.1258,0.0978,0.158,0.1298,0.1009,0.1629,0.1221,0.0941,0.1544,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,10,0.3586,0.3101,0.4083,0.37,0.3206,0.4204,0.3481,0.2963,0.4005,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,15,0.5392,0.4845,0.5908,0.5562,0.5027,0.6088,0.5233,0.46,0.5808,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,20,0.6504,0.5954,0.6982,0.6709,0.6171,0.7198,0.6312,0.5645,0.6882,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,25,0.7018,0.648,0.7462,0.7238,0.6721,0.7696,0.6811,0.6134,0.7366,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,30,0.726,0.6728,0.7682,0.7488,0.6989,0.7922,0.7047,0.6368,0.7586,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,35,0.7478,0.6952,0.7887,0.7712,0.7218,0.813,0.7258,0.6571,0.7793,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,40,0.757,0.705,0.7966,0.7807,0.7312,0.8218,0.7347,0.6664,0.7873,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,45,0.7636,0.7122,0.8029,0.7876,0.7386,0.8283,0.7412,0.6729,0.7932,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,50,0.772,0.7204,0.8104,0.7962,0.7473,0.8367,0.7493,0.681,0.8007,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,75,0.7829,0.7312,0.8208,0.8075,0.7585,0.8478,0.7598,0.6909,0.8109,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,100,0.7858,0.7339,0.823,0.8105,0.7616,0.8505,0.7627,0.6934,0.813,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,125,0.7862,0.7344,0.8234,0.8109,0.762,0.8508,0.7631,0.694,0.8134,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
retest-phase3c__image-h9-c-diversity-3of5,150,0.7875,0.7357,0.8245,0.8122,0.7634,0.8521,0.7643,0.6953,0.8147,0.615,0.5199,0.6974,0.828,0.7935,0.6147,0.8277,0.7936,normal,False,0.0,0,,
