label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
retest-phase3c__image-h9-d-diversity-3of5,5,0.1207,0.0931,0.1533,0.1229,0.0947,0.1567,0.1184,0.0907,0.1515,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,10,0.3577,0.3099,0.4074,0.3645,0.3166,0.415,0.3513,0.2996,0.404,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,15,0.5432,0.489,0.5933,0.5532,0.4998,0.6038,0.5335,0.47,0.5903,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,20,0.6456,0.5892,0.694,0.6575,0.6035,0.7075,0.6341,0.5654,0.6922,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,25,0.6898,0.6336,0.7365,0.7026,0.6497,0.7497,0.6775,0.6067,0.7354,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,30,0.7207,0.6674,0.7635,0.7341,0.6839,0.7783,0.7079,0.6394,0.7628,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,35,0.7393,0.6861,0.7815,0.753,0.7025,0.7969,0.7261,0.6569,0.7811,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,40,0.7514,0.6997,0.7921,0.7653,0.7163,0.8082,0.738,0.6693,0.792,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,45,0.7579,0.7063,0.7975,0.772,0.7231,0.8141,0.7444,0.6758,0.7974,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,50,0.7662,0.7148,0.8055,0.7804,0.7318,0.8224,0.7525,0.6837,0.805,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,75,0.7781,0.7268,0.8171,0.7926,0.7439,0.8345,0.7643,0.6948,0.8165,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,100,0.7802,0.7287,0.8189,0.7947,0.7459,0.8366,0.7663,0.6967,0.8184,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,125,0.7811,0.7294,0.8196,0.7956,0.7467,0.8375,0.7671,0.6977,0.8191,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
retest-phase3c__image-h9-d-diversity-3of5,150,0.7827,0.7315,0.8211,0.7972,0.7485,0.8391,0.7687,0.6991,0.8207,0.6296,0.5365,0.7115,0.8383,0.7967,0.6293,0.838,0.7969,normal,False,0.0,0,,
