label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
grid-2026-08-18__g384-ov192-k1-verified-opmax,5,0.3877,0.339,0.4347,0.3795,0.3311,0.427,0.3963,0.3464,0.4469,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,10,0.7366,0.6922,0.7769,0.721,0.6746,0.7652,0.7529,0.7024,0.7976,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,15,0.8164,0.7816,0.8475,0.7991,0.7567,0.8367,0.8345,0.7925,0.8705,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,20,0.8529,0.8235,0.879,0.8348,0.7966,0.8679,0.8718,0.8329,0.9037,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,25,0.8575,0.8282,0.8828,0.8393,0.8009,0.872,0.8765,0.8379,0.9077,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,30,0.862,0.8331,0.887,0.8438,0.8057,0.8766,0.8811,0.8433,0.9117,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,35,0.8643,0.8356,0.8889,0.846,0.8076,0.8786,0.8834,0.845,0.9133,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,40,0.8643,0.8356,0.8889,0.846,0.8076,0.8786,0.8834,0.845,0.9133,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,45,0.8643,0.8356,0.8889,0.846,0.8076,0.8786,0.8834,0.845,0.9133,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,50,0.8643,0.8356,0.8889,0.846,0.8076,0.8786,0.8834,0.845,0.9133,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,75,0.8689,0.84,0.8936,0.8504,0.8124,0.8824,0.8881,0.8496,0.9182,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,100,0.8712,0.8425,0.8953,0.8527,0.8146,0.8845,0.8904,0.8522,0.9199,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,125,0.8757,0.848,0.8994,0.8571,0.819,0.8891,0.8951,0.8585,0.9237,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k1-verified-opmax,150,0.8757,0.848,0.8994,0.8571,0.819,0.8891,0.8951,0.8585,0.9237,0.8275,0.7733,0.8722,0.8571,0.963,0.8276,0.8571,0.9631,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
