label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,5,0.4323,0.3862,0.4788,0.4628,0.4152,0.5117,0.4056,0.3584,0.4525,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,10,0.7727,0.7259,0.8143,0.8271,0.7834,0.8658,0.7249,0.6709,0.7748,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,15,0.8745,0.8394,0.9037,0.9362,0.9034,0.9604,0.8205,0.7721,0.8621,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,20,0.8994,0.87,0.9238,0.9628,0.9316,0.98,0.8438,0.7989,0.8821,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,25,0.9043,0.8755,0.9278,0.9681,0.938,0.984,0.8485,0.803,0.8863,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,30,0.9093,0.8812,0.9321,0.9734,0.9423,0.9879,0.8531,0.8084,0.8908,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,35,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,40,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,45,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,50,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,75,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,100,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,125,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
grid-2026-08-18__g384-ov192-k10-verified37-p0.98-k10-era2b,150,0.9118,0.8837,0.9341,0.9761,0.944,0.9896,0.8555,0.8105,0.8925,0.8072,0.7549,0.8518,0.7946,0.9918,0.8072,0.7947,0.9918,sparse_cross_grid,False,0.5781584582441114,467,zero_fraction_heuristic,
