label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-image-t0.3-n1-opmax,5,0.1375,0.1024,0.18,0.1332,0.0996,0.1751,0.1422,0.1053,0.1863,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5117773019271948,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,10,0.3991,0.3506,0.451,0.3865,0.3385,0.437,0.4126,0.3597,0.4688,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5139186295503212,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,15,0.5817,0.5325,0.6295,0.5633,0.5153,0.6124,0.6014,0.5461,0.654,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5182012847965739,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,20,0.6945,0.6465,0.7375,0.6725,0.6244,0.7179,0.7179,0.6614,0.7663,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5203426124197003,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,25,0.7711,0.7302,0.8067,0.7467,0.703,0.7866,0.7972,0.748,0.838,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5203426124197003,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,30,0.8095,0.7739,0.8411,0.7838,0.7431,0.8211,0.8368,0.7902,0.8741,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5224839400428265,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,35,0.8185,0.7852,0.8484,0.7926,0.7523,0.8289,0.8462,0.8018,0.8818,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5224839400428265,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,40,0.832,0.7995,0.8614,0.8057,0.7659,0.8416,0.8601,0.815,0.8947,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5224839400428265,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,45,0.8365,0.8048,0.8656,0.81,0.7706,0.8458,0.8648,0.8195,0.8988,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5224839400428265,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,50,0.8455,0.8144,0.8727,0.8188,0.7808,0.8541,0.8741,0.8304,0.9063,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,75,0.8546,0.8241,0.8802,0.8275,0.7897,0.8621,0.8834,0.8398,0.9137,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,100,0.8591,0.8299,0.8843,0.8319,0.7947,0.8659,0.8881,0.8449,0.9178,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,125,0.8613,0.8326,0.8864,0.8341,0.7978,0.868,0.8904,0.8475,0.92,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n1-opmax,150,0.8613,0.8326,0.8864,0.8341,0.7978,0.868,0.8904,0.8475,0.92,0.8331,0.7769,0.8769,0.8929,0.9383,0.8337,0.8933,0.9385,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
