label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,5,0.1882,0.1502,0.2326,0.2143,0.1726,0.2617,0.1678,0.1313,0.2103,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,10,0.4706,0.414,0.5262,0.5357,0.4769,0.5945,0.4196,0.3609,0.4767,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5460385438972163,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,15,0.6301,0.5776,0.6808,0.7173,0.6617,0.768,0.5618,0.5047,0.6189,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,20,0.7163,0.6676,0.7613,0.8155,0.7685,0.8559,0.6387,0.579,0.6944,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,25,0.7817,0.7366,0.8207,0.8899,0.8496,0.9217,0.697,0.6379,0.7505,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,30,0.7922,0.7484,0.8299,0.9018,0.864,0.9314,0.7063,0.6483,0.7594,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,35,0.8,0.7573,0.837,0.9107,0.8738,0.9388,0.7133,0.6551,0.7659,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,40,0.8078,0.7652,0.8446,0.9196,0.8833,0.9463,0.7203,0.6613,0.7725,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,45,0.8131,0.7705,0.8496,0.9256,0.8903,0.9515,0.7249,0.6653,0.7772,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,50,0.8183,0.776,0.8545,0.9315,0.8968,0.9564,0.7296,0.6706,0.7821,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,75,0.8261,0.7837,0.861,0.9405,0.9069,0.9637,0.7366,0.6774,0.7883,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,100,0.8261,0.7837,0.861,0.9405,0.9069,0.9637,0.7366,0.6774,0.7883,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,125,0.8261,0.7837,0.861,0.9405,0.9069,0.9637,0.7366,0.6774,0.7883,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0.3-n3-carried-p0.15-k3,150,0.8261,0.7837,0.861,0.9405,0.9069,0.9637,0.7366,0.6774,0.7883,0.7746,0.7175,0.8236,0.7857,0.9712,0.7752,0.7864,0.9713,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
