label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,5,0.27,0.2283,0.3137,0.2609,0.2187,0.3047,0.2797,0.2363,0.3276,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5139186295503212,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,10,0.5984,0.5475,0.6468,0.5783,0.5224,0.6309,0.62,0.5661,0.6715,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5289079229122056,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,15,0.7334,0.6817,0.7782,0.7087,0.6481,0.7605,0.7599,0.7074,0.8073,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,20,0.7762,0.7259,0.8191,0.75,0.6894,0.8004,0.8042,0.7518,0.8493,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,25,0.8099,0.7651,0.8489,0.7826,0.7263,0.8294,0.8392,0.7917,0.8797,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,30,0.8324,0.7927,0.8672,0.8043,0.7515,0.8483,0.8625,0.8191,0.8989,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,35,0.8369,0.7969,0.8711,0.8087,0.7557,0.8526,0.8671,0.8242,0.9024,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,40,0.8436,0.8049,0.8766,0.8152,0.7624,0.8578,0.8741,0.8326,0.9081,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,45,0.8459,0.8092,0.8778,0.8174,0.7652,0.8592,0.8765,0.8364,0.9097,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,50,0.8481,0.8119,0.8797,0.8196,0.7681,0.8617,0.8788,0.8395,0.9115,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,75,0.8661,0.8326,0.895,0.837,0.7873,0.8775,0.8974,0.8606,0.9269,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,100,0.8684,0.8356,0.8971,0.8391,0.7898,0.8796,0.8998,0.8627,0.929,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,125,0.8684,0.8356,0.8971,0.8391,0.7898,0.8796,0.8998,0.8627,0.929,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n1-carried-p0.15-k1,150,0.8684,0.8356,0.8971,0.8391,0.7898,0.8796,0.8998,0.8627,0.929,0.8036,0.7459,0.8514,0.8661,0.9342,0.8041,0.8664,0.9343,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
