label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-text-t1.0-n10-opmax,5,0.3471,0.3025,0.3947,0.3517,0.3047,0.4014,0.3427,0.2965,0.3908,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,10,0.7367,0.6935,0.777,0.7464,0.7016,0.7887,0.7273,0.6757,0.773,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,15,0.8406,0.8036,0.8732,0.8517,0.8118,0.8864,0.8298,0.7812,0.869,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,20,0.876,0.8442,0.9031,0.8876,0.8518,0.917,0.8648,0.8182,0.9002,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,25,0.8831,0.8517,0.9098,0.8947,0.8586,0.9233,0.8718,0.8261,0.9069,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,30,0.8996,0.8712,0.922,0.9115,0.8786,0.9368,0.8881,0.8437,0.9192,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,35,0.902,0.8739,0.9238,0.9139,0.8812,0.9384,0.8904,0.8468,0.9214,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,40,0.902,0.8739,0.9238,0.9139,0.8812,0.9384,0.8904,0.8468,0.9214,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,45,0.902,0.8739,0.9238,0.9139,0.8812,0.9384,0.8904,0.8468,0.9214,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,50,0.902,0.8739,0.9238,0.9139,0.8812,0.9384,0.8904,0.8468,0.9214,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,75,0.902,0.8739,0.9238,0.9139,0.8812,0.9384,0.8904,0.8468,0.9214,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,100,0.9044,0.8767,0.9253,0.9163,0.8854,0.9401,0.8928,0.8494,0.9233,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,125,0.9044,0.8767,0.9253,0.9163,0.8854,0.9401,0.8928,0.8494,0.9233,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-high-text-t1.0-n10-opmax,150,0.9044,0.8767,0.9253,0.9163,0.8854,0.9401,0.8928,0.8494,0.9233,0.7871,0.7282,0.8363,0.817,0.9588,0.7873,0.8171,0.9589,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
