label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-image-t1.0-n3-opmax,5,0.1513,0.1195,0.1876,0.1535,0.1209,0.1893,0.1492,0.1174,0.1866,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,10,0.4397,0.3881,0.4927,0.446,0.3954,0.4988,0.4336,0.3786,0.4902,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.5396145610278372,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,15,0.6288,0.5743,0.678,0.6379,0.5836,0.6874,0.62,0.5614,0.6742,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,20,0.7258,0.6825,0.7665,0.7362,0.6947,0.7775,0.7156,0.6637,0.7643,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,25,0.7754,0.7355,0.8115,0.7866,0.7472,0.8245,0.7646,0.7146,0.8096,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,30,0.8014,0.7646,0.8358,0.8129,0.7756,0.849,0.7902,0.7415,0.8337,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,35,0.8109,0.7747,0.8435,0.8225,0.7857,0.8565,0.7995,0.7518,0.8418,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,40,0.8298,0.7969,0.8592,0.8417,0.8059,0.8744,0.8182,0.7733,0.8568,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,45,0.8416,0.8101,0.8696,0.8537,0.8184,0.8851,0.8298,0.7862,0.8671,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,50,0.844,0.8123,0.8726,0.8561,0.8205,0.8881,0.8322,0.7883,0.8704,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,75,0.8534,0.8206,0.881,0.8657,0.8297,0.8978,0.8415,0.7967,0.8789,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,100,0.8558,0.8234,0.8831,0.8681,0.8321,0.9,0.8438,0.7991,0.881,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,125,0.8582,0.8268,0.8852,0.8705,0.8352,0.9019,0.8462,0.8018,0.8835,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-min-image-t1.0-n3-opmax,150,0.8605,0.8298,0.8871,0.8729,0.8384,0.9035,0.8485,0.8053,0.8855,0.8148,0.759,0.8619,0.8482,0.9588,0.8152,0.8487,0.9588,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
