label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-text-t0.3-n1-opmax,5,0.3952,0.3417,0.4495,0.409,0.3532,0.4665,0.3823,0.3287,0.4354,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5396145610278372,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,10,0.7301,0.6839,0.7731,0.7556,0.7046,0.8009,0.7063,0.6551,0.7536,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,15,0.8289,0.7871,0.8639,0.8579,0.8113,0.895,0.8019,0.7519,0.8439,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,20,0.853,0.8144,0.8837,0.8828,0.8394,0.9154,0.8252,0.7783,0.8638,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,25,0.8675,0.8333,0.8949,0.8978,0.8571,0.9278,0.8392,0.7947,0.8756,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,30,0.8771,0.8455,0.9024,0.9077,0.8686,0.9353,0.8485,0.8057,0.8825,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,35,0.8916,0.8636,0.9143,0.9227,0.8869,0.9475,0.8625,0.82,0.8941,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,40,0.894,0.8661,0.9163,0.9252,0.8895,0.9495,0.8648,0.8223,0.8963,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,45,0.8964,0.8691,0.9179,0.9277,0.8922,0.9515,0.8671,0.8253,0.8984,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,50,0.8964,0.8691,0.9179,0.9277,0.8922,0.9515,0.8671,0.8253,0.8984,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,75,0.8964,0.8691,0.9179,0.9277,0.8922,0.9515,0.8671,0.8253,0.8984,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,100,0.8988,0.8715,0.9202,0.9302,0.8949,0.9543,0.8695,0.827,0.9007,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,125,0.8988,0.8715,0.9202,0.9302,0.8949,0.9543,0.8695,0.827,0.9007,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n1-opmax,150,0.8988,0.8715,0.9202,0.9302,0.8949,0.9543,0.8695,0.827,0.9007,0.795,0.7378,0.8436,0.8259,0.9588,0.7951,0.826,0.9589,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
