label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,5,0.3898,0.3362,0.4455,0.4298,0.3713,0.4896,0.3566,0.3035,0.4112,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,10,0.7414,0.6972,0.7817,0.8174,0.7721,0.8586,0.6783,0.6262,0.7268,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.5674518201284796,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,15,0.8382,0.8017,0.8687,0.9242,0.8897,0.9501,0.7669,0.7167,0.8102,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,20,0.8561,0.8225,0.884,0.9438,0.9137,0.9653,0.7832,0.7339,0.825,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,25,0.8586,0.825,0.8866,0.9466,0.9164,0.9677,0.7855,0.7364,0.8281,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,30,0.8637,0.831,0.8914,0.9522,0.9223,0.9725,0.7902,0.7411,0.8322,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,35,0.8637,0.831,0.8914,0.9522,0.9223,0.9725,0.7902,0.7411,0.8322,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,40,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,45,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,50,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,75,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,100,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,125,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__pv-min-text-t0.3-n3-carried-p0.15-k3,150,0.8662,0.834,0.8936,0.9551,0.9269,0.9747,0.7925,0.744,0.8344,0.7506,0.6909,0.8036,0.7634,0.9671,0.7509,0.7638,0.9671,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
