label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,5,0.1473,0.1125,0.1876,0.1877,0.1446,0.2369,0.1212,0.0912,0.1566,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,10,0.4363,0.3769,0.4951,0.556,0.4901,0.6171,0.359,0.3022,0.418,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,15,0.5807,0.5266,0.6358,0.7401,0.6846,0.7915,0.4779,0.4203,0.5376,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,20,0.6969,0.6437,0.7448,0.8881,0.8458,0.9223,0.5734,0.5106,0.631,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,25,0.7224,0.6696,0.7686,0.9206,0.8816,0.9505,0.5944,0.5305,0.6523,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,30,0.7394,0.6859,0.785,0.9422,0.907,0.9667,0.6084,0.5435,0.6674,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,35,0.7479,0.6942,0.7934,0.9531,0.9198,0.9748,0.6154,0.5502,0.6749,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,40,0.7479,0.6942,0.7934,0.9531,0.9198,0.9748,0.6154,0.5502,0.6749,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,45,0.7507,0.6971,0.7955,0.9567,0.9246,0.9774,0.6177,0.5527,0.6777,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,50,0.7507,0.6971,0.7955,0.9567,0.9246,0.9774,0.6177,0.5527,0.6777,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,75,0.7535,0.7001,0.7983,0.9603,0.9288,0.9804,0.62,0.5551,0.6798,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5674518201284796,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,100,0.7535,0.7001,0.7983,0.9603,0.9288,0.9804,0.62,0.5551,0.6798,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5674518201284796,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,125,0.7535,0.7001,0.7983,0.9603,0.9288,0.9804,0.62,0.5551,0.6798,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5674518201284796,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n3-carried-p0.15-k3,150,0.7535,0.7001,0.7983,0.9603,0.9288,0.9804,0.62,0.5551,0.6798,0.7375,0.6841,0.7859,0.7098,0.9918,0.7378,0.7103,0.9918,sparse_cross_grid,False,0.5674518201284796,467,zero_fraction_heuristic,
