label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-scale4-optimal-n5-opmax,5,0.1638,0.128,0.2048,0.1722,0.1349,0.2149,0.1562,0.1215,0.1961,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5310492505353319,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,10,0.4499,0.3968,0.5019,0.473,0.4191,0.5259,0.4289,0.3726,0.4842,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5438972162740899,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,15,0.6479,0.5963,0.6973,0.6812,0.6289,0.7294,0.6177,0.5604,0.6734,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,20,0.7604,0.7151,0.8011,0.7995,0.7533,0.84,0.7249,0.6698,0.775,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,25,0.7922,0.7516,0.83,0.8329,0.7891,0.8703,0.7552,0.7036,0.8025,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,30,0.8191,0.7785,0.8548,0.8612,0.8179,0.8966,0.7809,0.7293,0.8266,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,35,0.8337,0.7947,0.867,0.8766,0.8354,0.9096,0.7949,0.7437,0.839,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,40,0.8386,0.8005,0.8715,0.8817,0.8402,0.9138,0.7995,0.7493,0.8438,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,45,0.8411,0.8031,0.8738,0.8843,0.843,0.9156,0.8019,0.7516,0.8459,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,50,0.8509,0.8156,0.8817,0.8946,0.856,0.9247,0.8112,0.7614,0.8537,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,75,0.8557,0.8219,0.8853,0.8997,0.8639,0.928,0.8159,0.7661,0.8585,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,100,0.8557,0.8219,0.8853,0.8997,0.8639,0.928,0.8159,0.7661,0.8585,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,125,0.8582,0.8244,0.8872,0.9023,0.8664,0.9302,0.8182,0.7684,0.8598,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax,150,0.8582,0.8244,0.8872,0.9023,0.8664,0.9302,0.8182,0.7684,0.8598,0.8242,0.7695,0.8691,0.8482,0.9671,0.8248,0.8489,0.9671,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
