label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__session-78-text-brief-text-opmax,5,0.2963,0.2503,0.3444,0.315,0.2658,0.3659,0.2797,0.2338,0.3274,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5310492505353319,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,10,0.6815,0.6353,0.7257,0.7244,0.676,0.7682,0.6434,0.5911,0.6929,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,15,0.8074,0.7671,0.8436,0.8583,0.8169,0.8938,0.7622,0.7116,0.8075,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,20,0.8494,0.8135,0.8798,0.9029,0.8665,0.9307,0.8019,0.7524,0.843,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,25,0.8617,0.8281,0.8904,0.916,0.8809,0.9419,0.8135,0.7649,0.8539,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,30,0.8741,0.8414,0.9012,0.9291,0.8956,0.9532,0.8252,0.7776,0.8654,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,35,0.8741,0.8414,0.9012,0.9291,0.8956,0.9532,0.8252,0.7776,0.8654,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,40,0.8741,0.8414,0.9012,0.9291,0.8956,0.9532,0.8252,0.7776,0.8654,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,45,0.8741,0.8414,0.9012,0.9291,0.8956,0.9532,0.8252,0.7776,0.8654,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,50,0.8741,0.8414,0.9012,0.9291,0.8956,0.9532,0.8252,0.7776,0.8654,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,75,0.8765,0.8441,0.9032,0.9318,0.8982,0.9552,0.8275,0.7793,0.8673,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,100,0.879,0.8471,0.9055,0.9344,0.9012,0.9574,0.8298,0.7822,0.8697,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,125,0.879,0.8471,0.9055,0.9344,0.9012,0.9574,0.8298,0.7822,0.8697,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-brief-text-opmax,150,0.879,0.8471,0.9055,0.9344,0.9012,0.9574,0.8298,0.7822,0.8697,0.7492,0.6878,0.8032,0.7902,0.9465,0.7496,0.7905,0.9467,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
