label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__session-78-text-checklist-text-opmax,5,0.3008,0.2547,0.3489,0.3109,0.2627,0.3618,0.2914,0.2449,0.339,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.5246252676659529,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,10,0.6931,0.6463,0.7367,0.7164,0.6676,0.7618,0.6713,0.6181,0.7203,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.5396145610278372,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,15,0.8159,0.7758,0.8519,0.8433,0.801,0.8815,0.7902,0.7403,0.8346,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,20,0.8616,0.8277,0.8904,0.8905,0.8534,0.9208,0.8345,0.7871,0.8734,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,25,0.8736,0.8413,0.9005,0.903,0.8667,0.9317,0.8462,0.8,0.8833,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,30,0.8857,0.8552,0.9113,0.9154,0.8799,0.9425,0.8578,0.8115,0.8946,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,35,0.8857,0.8552,0.9113,0.9154,0.8799,0.9425,0.8578,0.8115,0.8946,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,40,0.8857,0.8552,0.9113,0.9154,0.8799,0.9425,0.8578,0.8115,0.8946,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,45,0.8857,0.8552,0.9113,0.9154,0.8799,0.9425,0.8578,0.8115,0.8946,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,50,0.8857,0.8552,0.9113,0.9154,0.8799,0.9425,0.8578,0.8115,0.8946,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,75,0.8881,0.8575,0.9138,0.9179,0.8828,0.9447,0.8601,0.8138,0.8965,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,100,0.8905,0.8603,0.9155,0.9204,0.8858,0.9471,0.8625,0.8163,0.8989,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,125,0.8905,0.8603,0.9155,0.9204,0.8858,0.9471,0.8625,0.8163,0.8989,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__session-78-text-checklist-text-opmax,150,0.8905,0.8603,0.9155,0.9204,0.8858,0.9471,0.8625,0.8163,0.8989,0.7468,0.6836,0.8013,0.8036,0.9342,0.7472,0.804,0.9342,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
