label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-image-3of5-era2b,5,0.1829,0.1468,0.2275,0.1891,0.1516,0.2351,0.1772,0.1414,0.2212,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.5310492505353319,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,10,0.4765,0.4269,0.5281,0.4925,0.4428,0.5441,0.4615,0.4075,0.5168,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,15,0.6739,0.625,0.7195,0.6965,0.6488,0.7427,0.6527,0.5956,0.7046,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,20,0.7726,0.7273,0.8112,0.7985,0.7541,0.8375,0.7483,0.6948,0.7954,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,25,0.8111,0.7696,0.8456,0.8383,0.7979,0.8725,0.7855,0.7331,0.83,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,30,0.8472,0.8092,0.8771,0.8756,0.8354,0.9072,0.8205,0.7717,0.8608,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,35,0.8616,0.8252,0.89,0.8905,0.8519,0.9215,0.8345,0.7865,0.8728,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,40,0.8688,0.8344,0.8959,0.898,0.8595,0.928,0.8415,0.7962,0.8786,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,45,0.8736,0.8416,0.8998,0.903,0.8667,0.9321,0.8462,0.802,0.8826,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,50,0.8761,0.8438,0.9021,0.9055,0.8696,0.9344,0.8485,0.8052,0.8848,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,75,0.8761,0.8438,0.9021,0.9055,0.8696,0.9344,0.8485,0.8052,0.8848,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,100,0.8761,0.8438,0.9021,0.9055,0.8696,0.9344,0.8485,0.8052,0.8848,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,125,0.8833,0.8534,0.9077,0.9129,0.8778,0.9407,0.8555,0.8121,0.8908,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-3of5-era2b,150,0.8833,0.8534,0.9077,0.9129,0.8778,0.9407,0.8555,0.8121,0.8908,0.8242,0.7699,0.8692,0.8482,0.9671,0.8246,0.8486,0.9672,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
