label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-image-min-6of10-era2b,5,0.2044,0.1671,0.2456,0.2137,0.1739,0.2573,0.1958,0.1599,0.2361,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,10,0.5255,0.4756,0.5764,0.5496,0.4987,0.6035,0.5035,0.4502,0.5581,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5438972162740899,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,15,0.6861,0.6373,0.7303,0.7176,0.6676,0.7622,0.6573,0.603,0.7074,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,20,0.7883,0.7478,0.8248,0.8244,0.7818,0.8609,0.7552,0.7058,0.7996,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,25,0.8321,0.7937,0.8648,0.8702,0.8308,0.904,0.7972,0.7477,0.8396,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,30,0.8467,0.8098,0.8771,0.8855,0.8485,0.9161,0.8112,0.7611,0.8523,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,35,0.8613,0.8262,0.8899,0.9008,0.8655,0.9296,0.8252,0.776,0.8646,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,40,0.871,0.8377,0.8986,0.9109,0.8773,0.9381,0.8345,0.786,0.873,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5524625267665952,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,45,0.8735,0.8396,0.9002,0.9135,0.8804,0.9403,0.8368,0.7885,0.8754,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,50,0.8735,0.8396,0.9002,0.9135,0.8804,0.9403,0.8368,0.7885,0.8754,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,75,0.8783,0.845,0.9042,0.9186,0.8857,0.9444,0.8415,0.793,0.8795,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,100,0.8783,0.845,0.9042,0.9186,0.8857,0.9444,0.8415,0.793,0.8795,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,125,0.8783,0.845,0.9042,0.9186,0.8857,0.9444,0.8415,0.793,0.8795,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-image-min-6of10-era2b,150,0.8783,0.845,0.9042,0.9186,0.8857,0.9444,0.8415,0.793,0.8795,0.8037,0.7465,0.8509,0.8304,0.963,0.8038,0.8306,0.963,sparse_cross_grid,False,0.5546038543897216,467,zero_fraction_heuristic,
