label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,5,0.0538,0.035,0.0761,0.054,0.0352,0.0767,0.0536,0.0347,0.0762,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5289079229122056,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,10,0.2409,0.2044,0.2803,0.2418,0.2039,0.2826,0.2401,0.203,0.2804,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5331905781584583,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,15,0.545,0.4963,0.5915,0.5469,0.4976,0.5946,0.5431,0.4904,0.5923,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5460385438972163,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,20,0.7111,0.6621,0.7553,0.7136,0.6623,0.7592,0.7086,0.6534,0.7574,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5460385438972163,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,25,0.793,0.7482,0.8307,0.7958,0.7494,0.8353,0.7902,0.7396,0.8342,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,30,0.8374,0.8015,0.8672,0.8404,0.8004,0.8736,0.8345,0.7908,0.8714,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,35,0.8655,0.836,0.8901,0.8685,0.8337,0.8978,0.8625,0.8224,0.8951,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,40,0.8702,0.8408,0.8944,0.8732,0.8384,0.9024,0.8671,0.8268,0.8998,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,45,0.8819,0.8553,0.9043,0.885,0.8526,0.9131,0.8788,0.8402,0.9093,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,50,0.8819,0.8553,0.9043,0.885,0.8526,0.9131,0.8788,0.8402,0.9093,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,75,0.8982,0.8747,0.9182,0.9014,0.8698,0.928,0.8951,0.8585,0.9234,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,100,0.9006,0.8769,0.9202,0.9038,0.8728,0.9293,0.8974,0.8608,0.9263,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,125,0.9053,0.8828,0.924,0.9085,0.8783,0.9335,0.9021,0.8663,0.9302,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-image-pro-vf-3of5-era2b,150,0.9053,0.8828,0.924,0.9085,0.8783,0.9335,0.9021,0.8663,0.9302,0.8442,0.7911,0.8863,0.8705,0.9671,0.8446,0.8709,0.9672,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
