label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-pro-text-baseline-era2b,5,0.1722,0.1377,0.2108,0.1823,0.1461,0.2228,0.1632,0.1291,0.2014,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,10,0.5412,0.4877,0.5916,0.5729,0.5183,0.625,0.5128,0.4528,0.5714,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,15,0.7134,0.6601,0.7624,0.7552,0.7018,0.8036,0.676,0.6079,0.7374,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,20,0.7724,0.7209,0.8161,0.8177,0.7634,0.8596,0.7319,0.6635,0.7921,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.5610278372591007,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,25,0.7872,0.7374,0.8288,0.8333,0.7846,0.8723,0.7459,0.677,0.8048,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,30,0.7872,0.7374,0.8288,0.8333,0.7846,0.8723,0.7459,0.677,0.8048,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,35,0.797,0.7522,0.8357,0.8438,0.8016,0.8807,0.7552,0.6884,0.8122,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,40,0.7995,0.7551,0.8372,0.8464,0.8058,0.8822,0.7576,0.6907,0.8139,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,45,0.802,0.7581,0.8389,0.849,0.8088,0.8841,0.7599,0.6922,0.8161,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,50,0.8044,0.7607,0.8419,0.8516,0.8112,0.8859,0.7622,0.6935,0.8187,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,75,0.8093,0.7652,0.8463,0.8568,0.8159,0.8912,0.7669,0.6976,0.8235,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,100,0.8093,0.7652,0.8463,0.8568,0.8159,0.8912,0.7669,0.6976,0.8235,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,125,0.8093,0.7652,0.8463,0.8568,0.8159,0.8912,0.7669,0.6976,0.8235,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-baseline-era2b,150,0.8093,0.7652,0.8463,0.8568,0.8159,0.8912,0.7669,0.6976,0.8235,0.7821,0.7286,0.8299,0.7768,0.9835,0.7822,0.7769,0.9836,sparse_cross_grid,False,0.563169164882227,467,zero_fraction_heuristic,
