label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,5,0.1656,0.1292,0.2052,0.186,0.1456,0.2299,0.1492,0.1158,0.1874,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5653104925053534,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,10,0.5382,0.4859,0.5882,0.6047,0.5496,0.6566,0.4848,0.4299,0.5387,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5738758029978587,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,15,0.7607,0.7122,0.8041,0.8547,0.8115,0.8915,0.6853,0.6244,0.7403,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.582441113490364,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,20,0.8486,0.8074,0.8814,0.9535,0.9246,0.9734,0.7646,0.7015,0.814,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,25,0.8642,0.8241,0.8945,0.9709,0.9464,0.9861,0.7786,0.7168,0.8268,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,30,0.8642,0.8241,0.8945,0.9709,0.9464,0.9861,0.7786,0.7168,0.8268,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,35,0.8668,0.8272,0.8967,0.9738,0.9502,0.9879,0.7809,0.7188,0.8288,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,40,0.8668,0.8272,0.8967,0.9738,0.9502,0.9879,0.7809,0.7188,0.8288,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,45,0.8668,0.8272,0.8967,0.9738,0.9502,0.9879,0.7809,0.7188,0.8288,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,50,0.8668,0.8272,0.8967,0.9738,0.9502,0.9879,0.7809,0.7188,0.8288,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,75,0.8693,0.8287,0.8991,0.9767,0.9533,0.9901,0.7832,0.7209,0.8314,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,100,0.8693,0.8287,0.8991,0.9767,0.9533,0.9901,0.7832,0.7209,0.8314,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,125,0.8693,0.8287,0.8991,0.9767,0.9533,0.9901,0.7832,0.7209,0.8314,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-pro-text-medium-vf-3of5-era2b,150,0.8693,0.8287,0.8991,0.9767,0.9533,0.9901,0.7832,0.7209,0.8314,0.7321,0.6764,0.7818,0.7098,0.9877,0.7324,0.7103,0.9877,sparse_cross_grid,False,0.5845824411134903,467,zero_fraction_heuristic,
