label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-text-baseline-era2b,5,0.4195,0.371,0.4683,0.4084,0.3589,0.4572,0.4312,0.3788,0.4836,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5267665952890792,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,10,0.6916,0.6454,0.7359,0.6733,0.6247,0.7207,0.711,0.6581,0.7605,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,15,0.7755,0.7374,0.8108,0.755,0.71,0.7964,0.7972,0.7506,0.8398,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,20,0.8118,0.7776,0.8427,0.7903,0.7464,0.8304,0.8345,0.7923,0.8717,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,25,0.8254,0.7942,0.8534,0.8035,0.7617,0.8422,0.8485,0.8075,0.8839,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,30,0.8322,0.802,0.859,0.8102,0.7683,0.8486,0.8555,0.8153,0.8889,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,35,0.8345,0.8057,0.8609,0.8124,0.7711,0.8503,0.8578,0.8184,0.8915,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,40,0.839,0.8104,0.8652,0.8168,0.7763,0.8545,0.8625,0.8233,0.896,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,45,0.839,0.8104,0.8652,0.8168,0.7763,0.8545,0.8625,0.8233,0.896,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,50,0.839,0.8104,0.8652,0.8168,0.7763,0.8545,0.8625,0.8233,0.896,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,75,0.8413,0.8136,0.8669,0.819,0.7792,0.8556,0.8648,0.8252,0.8973,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,100,0.8481,0.8211,0.8725,0.8256,0.7857,0.8618,0.8718,0.8333,0.903,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,125,0.8503,0.8231,0.8747,0.8278,0.788,0.864,0.8741,0.8357,0.9051,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-baseline-era2b,150,0.8503,0.8231,0.8747,0.8278,0.788,0.864,0.8741,0.8357,0.9051,0.8304,0.7757,0.8765,0.8705,0.9547,0.8306,0.8708,0.9548,sparse_cross_grid,False,0.5374732334047109,467,zero_fraction_heuristic,
