label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,5,0.388,0.3374,0.439,0.4189,0.3662,0.4751,0.3613,0.3104,0.411,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.550321199143469,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,10,0.7309,0.6838,0.774,0.7892,0.7414,0.8333,0.6807,0.6269,0.729,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.569593147751606,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,15,0.836,0.799,0.8691,0.9027,0.8645,0.9331,0.7786,0.7313,0.8213,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.5738758029978587,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,20,0.8686,0.8356,0.8964,0.9378,0.9045,0.9613,0.8089,0.7633,0.8483,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,25,0.8736,0.8408,0.9009,0.9432,0.9101,0.9656,0.8135,0.7677,0.8523,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,30,0.8811,0.8514,0.9062,0.9514,0.9192,0.9721,0.8205,0.7775,0.8578,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,35,0.8861,0.8585,0.9098,0.9568,0.9271,0.9754,0.8252,0.7821,0.8614,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,40,0.8861,0.8585,0.9098,0.9568,0.9271,0.9754,0.8252,0.7821,0.8614,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,45,0.8861,0.8585,0.9098,0.9568,0.9271,0.9754,0.8252,0.7821,0.8614,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,50,0.8861,0.8585,0.9098,0.9568,0.9271,0.9754,0.8252,0.7821,0.8614,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,75,0.8886,0.862,0.9116,0.9595,0.9326,0.9768,0.8275,0.7848,0.8636,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,100,0.8911,0.8647,0.9136,0.9622,0.935,0.9791,0.8298,0.7871,0.8652,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,125,0.8911,0.8647,0.9136,0.9622,0.935,0.9791,0.8298,0.7871,0.8652,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
pv-diag-384__verified-adv-text-min-n30lineage-4of5-era2b,150,0.8911,0.8647,0.9136,0.9622,0.935,0.9791,0.8298,0.7871,0.8652,0.7834,0.7271,0.8321,0.7902,0.9753,0.7837,0.7906,0.9753,sparse_cross_grid,False,0.576017130620985,467,zero_fraction_heuristic,
