label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verifier-t-pilot__verified-t1-0-era2b,5,0.2857,0.2381,0.3364,0.3122,0.2591,0.3668,0.2634,0.2178,0.313,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5353319057815846,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,10,0.6776,0.6304,0.7222,0.7403,0.6921,0.7846,0.6247,0.5714,0.6754,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5481798715203426,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,15,0.8091,0.7694,0.8448,0.884,0.8474,0.9143,0.7459,0.6925,0.7939,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.556745182012848,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,20,0.8394,0.8027,0.8721,0.9171,0.8849,0.9425,0.7739,0.7206,0.8205,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,25,0.8496,0.8135,0.8807,0.9282,0.8971,0.9525,0.7832,0.7307,0.8287,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,30,0.8571,0.8214,0.8871,0.9365,0.9062,0.959,0.7902,0.7385,0.8351,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,35,0.8571,0.8214,0.8871,0.9365,0.9062,0.959,0.7902,0.7385,0.8351,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,40,0.8597,0.8245,0.8892,0.9392,0.9091,0.9614,0.7925,0.7412,0.8367,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,45,0.8597,0.8245,0.8892,0.9392,0.9091,0.9614,0.7925,0.7412,0.8367,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,50,0.8622,0.8276,0.8913,0.942,0.9128,0.9632,0.7949,0.7434,0.8389,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,75,0.8647,0.8302,0.8936,0.9448,0.9157,0.9656,0.7972,0.7457,0.8414,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,100,0.8647,0.8302,0.8936,0.9448,0.9157,0.9656,0.7972,0.7457,0.8414,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,125,0.8647,0.8302,0.8936,0.9448,0.9157,0.9656,0.7972,0.7457,0.8414,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
verifier-t-pilot__verified-t1-0-era2b,150,0.8647,0.8302,0.8936,0.9448,0.9157,0.9656,0.7972,0.7457,0.8414,0.756,0.6948,0.808,0.7812,0.9588,0.7561,0.7815,0.9588,sparse_cross_grid,False,0.5588865096359743,467,zero_fraction_heuristic,
