condition_label,f1,tier_number,tier_f1_range
FH text 16/30 + PV,0.904,1,0.885–0.904
FH text 4/5 + PV,0.891,1,0.885–0.904
FH text 4/5 + med vf,0.885,1,0.885–0.904
FH text 9/10 + PV,0.869,2,0.851–0.869
Pro text 3/5 + PV,0.865,2,0.851–0.869
Pro text 3/5,0.855,2,0.851–0.869
FH image 3/5 + PV,0.851,2,0.851–0.869
Text base + PV,0.832,3,0.799–0.832
FH text 26/30,0.826,3,0.799–0.832
Pro image 3/5,0.821,3,0.799–0.832
FH image 6/10,0.812,3,0.799–0.832
FH text 9/10,0.811,3,0.799–0.832
FH image 3/5,0.799,3,0.799–0.832
FH text 5/5,0.788,4,0.782–0.788
Image base + PV,0.782,4,0.782–0.788
FM image 6/10,0.733,5,0.724–0.733
FM image 4/5,0.724,5,0.724–0.733
FM text T=0.7 29/30,0.669,6,0.647–0.669
FM text T=0.7 5/5,0.647,6,0.647–0.669
FM text T=0.7 10/10,0.641,7,0.641
Single-pass 10/10,0.563,8,0.479–0.563
Single-pass 5/5,0.554,8,0.479–0.563
FM text T=1.0 5/5,0.479,8,0.479–0.563
FM text T=1.0 22/30,0.477,9,0.469–0.477
FM text T=1.0 9/10,0.469,9,0.469–0.477
