condition_type,condition_label,pool_size,buffer_metres,config_details,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,n_detections
consensus,flash-high-image,5,20,"N=5, 3-of-5",0.7269,0.687,0.7646,0.6759,0.6284,0.7208,0.7862,0.7413,0.8311,506
consensus,flash-high-image,10,20,"N=10, 7-of-10",0.75,0.7073,0.7904,0.7778,0.7293,0.8199,0.7241,0.6717,0.7741,405
consensus,flash-high-image,5,30,"N=5, 3-of-5",0.7991,0.7618,0.8293,0.7431,0.6931,0.7841,0.8644,0.8247,0.9031,506
consensus,flash-high-image,10,30,"N=10, 6-of-10",0.8116,0.777,0.8413,0.7879,0.7411,0.8267,0.8368,0.7901,0.8794,462
consensus,flash-high-image,5,40,"N=5, 3-of-5",0.8183,0.7832,0.8485,0.7609,0.7112,0.8044,0.8851,0.8483,0.9196,506
consensus,flash-high-image,10,40,"N=10, 6-of-10",0.8294,0.795,0.859,0.8052,0.7575,0.8425,0.8552,0.813,0.896,462
consensus,flash-high-image,5,50,"N=5, 3-of-5",0.8268,0.7932,0.856,0.7688,0.7198,0.811,0.8943,0.8584,0.9287,506
consensus,flash-high-image,10,50,"N=10, 6-of-10",0.8339,0.7995,0.8623,0.8095,0.7628,0.8445,0.8598,0.8156,0.901,462
consensus,flash-high-text,5,20,"N=5, 5-of-5",0.7788,0.739,0.8166,0.7976,0.7432,0.8446,0.7609,0.7143,0.8117,415
consensus,flash-high-text,10,20,"N=10, 9-of-10",0.7968,0.7567,0.8299,0.8005,0.7494,0.8456,0.7931,0.7478,0.8387,431
consensus,flash-high-text,30,20,"N=30, 26-of-30",0.8141,0.7785,0.8463,0.8337,0.7877,0.8741,0.7954,0.7529,0.8396,415
consensus,flash-high-text,5,30,"N=5, 5-of-5",0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203,415
consensus,flash-high-text,10,30,"N=10, 9-of-10",0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.763,0.8501,431
consensus,flash-high-text,30,30,"N=30, 26-of-30",0.8259,0.7927,0.8575,0.8458,0.8011,0.887,0.8069,0.7632,0.8502,415
consensus,flash-high-text,5,40,"N=5, 5-of-5",0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203,415
consensus,flash-high-text,10,40,"N=10, 9-of-10",0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.763,0.8501,431
consensus,flash-high-text,30,40,"N=30, 26-of-30",0.8259,0.7927,0.8575,0.8458,0.8011,0.887,0.8069,0.7632,0.8502,415
consensus,flash-high-text,5,50,"N=5, 5-of-5",0.7882,0.7503,0.8234,0.8072,0.7554,0.8513,0.7701,0.7239,0.8203,415
consensus,flash-high-text,10,50,"N=10, 9-of-10",0.8106,0.7732,0.8422,0.8144,0.7634,0.8577,0.8069,0.763,0.8501,431
consensus,flash-high-text,30,50,"N=30, 26-of-30",0.8259,0.7927,0.8575,0.8458,0.8011,0.887,0.8069,0.7632,0.8502,415
