tile_size,label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,n_runs,n_detections
384,Flash Image HIGH T=0.7,20,0.4986,0.4482,0.5447,0.3763,0.3266,0.4235,0.739,0.6911,0.7859,10,
384,Flash Image HIGH T=0.7,30,0.5779,0.526,0.6238,0.4361,0.3817,0.4864,0.8568,0.8186,0.8934,10,
384,Flash Image HIGH T=0.7,40,0.6093,0.5568,0.6553,0.4598,0.4035,0.5116,0.9032,0.8721,0.9333,10,
384,Flash Image HIGH T=0.7,50,0.6215,0.5681,0.6677,0.469,0.4119,0.5216,0.9213,0.8931,0.9478,10,
384,Flash Image MINIMAL T=0.0,20,0.5995,0.5552,0.6368,0.4745,0.4258,0.5152,0.8138,0.7705,0.8532,1,
384,Flash Image MINIMAL T=0.0,30,0.6554,0.6116,0.6892,0.5188,0.4685,0.5583,0.8897,0.8567,0.9199,1,
384,Flash Image MINIMAL T=0.0,40,0.674,0.6292,0.7075,0.5335,0.4838,0.5743,0.9149,0.8903,0.9391,1,
384,Flash Image MINIMAL T=0.0,50,0.6808,0.6364,0.7145,0.5389,0.4875,0.5793,0.9241,0.8998,0.9459,1,
384,Flash Image MINIMAL T=0.0 (487 tiles),20,0.5984,0.5527,0.6358,0.4736,0.4253,0.5142,0.8123,0.7695,0.8522,3,
384,Flash Image MINIMAL T=0.0 (487 tiles),30,0.6548,0.6098,0.6892,0.5183,0.467,0.5585,0.8889,0.8562,0.9187,3,
384,Flash Image MINIMAL T=0.0 (487 tiles),40,0.6734,0.6292,0.7065,0.5331,0.4819,0.5726,0.9141,0.8895,0.9379,3,
384,Flash Image MINIMAL T=0.0 (487 tiles),50,0.6802,0.6363,0.7137,0.5384,0.4875,0.5792,0.9233,0.8994,0.945,3,
384,Flash Image MINIMAL T=0.3,20,0.5931,0.5487,0.6336,0.4688,0.4224,0.5117,0.8069,0.7652,0.848,3,
384,Flash Image MINIMAL T=0.3,30,0.6528,0.6093,0.6885,0.516,0.4659,0.558,0.8882,0.8554,0.9181,3,
384,Flash Image MINIMAL T=0.3,40,0.6708,0.6258,0.7056,0.5303,0.4794,0.571,0.9126,0.8837,0.9397,3,
384,Flash Image MINIMAL T=0.3,50,0.677,0.6333,0.7115,0.5352,0.4852,0.5762,0.921,0.8951,0.946,3,
384,Flash Image MINIMAL T=0.7,20,0.5534,0.5084,0.5935,0.4355,0.3896,0.4778,0.7591,0.7118,0.8029,10,
384,Flash Image MINIMAL T=0.7,30,0.6302,0.5858,0.6676,0.4959,0.447,0.5385,0.8644,0.829,0.8977,10,
384,Flash Image MINIMAL T=0.7,40,0.6567,0.6122,0.6924,0.5167,0.4664,0.5603,0.9007,0.8704,0.9287,10,
384,Flash Image MINIMAL T=0.7,50,0.6661,0.6221,0.7019,0.5241,0.4736,0.5678,0.9135,0.8855,0.9392,10,
384,Flash Text HIGH T=0.7,20,0.3871,0.3334,0.439,0.249,0.207,0.2925,0.8693,0.8318,0.9042,30,
384,Flash Text HIGH T=0.7,30,0.4063,0.3512,0.4593,0.2614,0.218,0.3063,0.9124,0.882,0.9407,30,
384,Flash Text HIGH T=0.7,40,0.4134,0.3577,0.4671,0.266,0.2219,0.3114,0.9285,0.9014,0.9539,30,
384,Flash Text HIGH T=0.7,50,0.4158,0.3596,0.4696,0.2675,0.2231,0.3133,0.9337,0.9079,0.9581,30,
384,Flash Text MINIMAL T=0.0,20,0.5033,0.4453,0.5594,0.3521,0.2983,0.4085,0.8823,0.8477,0.9141,10,
384,Flash Text MINIMAL T=0.0,30,0.515,0.4561,0.5717,0.3603,0.3052,0.4175,0.9027,0.872,0.9324,10,
384,Flash Text MINIMAL T=0.0,40,0.5207,0.461,0.5785,0.3643,0.3083,0.4224,0.9128,0.8824,0.9409,10,
384,Flash Text MINIMAL T=0.0,50,0.5207,0.461,0.5785,0.3643,0.3083,0.4224,0.9128,0.8824,0.9409,10,
384,Flash Text MINIMAL T=0.0 (PV baseline),20,0.5196,0.4619,0.5757,0.3677,0.3119,0.4265,0.8851,0.8496,0.9167,1,
384,Flash Text MINIMAL T=0.0 (PV baseline),30,0.5304,0.4713,0.587,0.3754,0.3191,0.4345,0.9034,0.8716,0.9325,1,
384,Flash Text MINIMAL T=0.0 (PV baseline),40,0.5358,0.4754,0.5938,0.3792,0.3212,0.4383,0.9126,0.8817,0.9405,1,
384,Flash Text MINIMAL T=0.0 (PV baseline),50,0.5358,0.4754,0.5938,0.3792,0.3212,0.4383,0.9126,0.8817,0.9405,1,
384,Flash Text MINIMAL T=0.3,20,0.4992,0.4415,0.5555,0.3506,0.298,0.4056,0.8667,0.8285,0.9033,3,
384,Flash Text MINIMAL T=0.3,30,0.5169,0.4591,0.5738,0.3631,0.309,0.419,0.8973,0.8637,0.9287,3,
384,Flash Text MINIMAL T=0.3,40,0.5218,0.4632,0.5786,0.3665,0.3121,0.4228,0.9057,0.8729,0.9358,3,
384,Flash Text MINIMAL T=0.3,50,0.5231,0.4645,0.5796,0.3674,0.3132,0.4243,0.908,0.8755,0.938,3,
384,Flash Text MINIMAL T=0.7,20,0.4883,0.4306,0.5422,0.3405,0.2884,0.3933,0.8634,0.8266,0.8978,30,
384,Flash Text MINIMAL T=0.7,30,0.5058,0.448,0.5602,0.3527,0.3,0.4065,0.8943,0.8617,0.9251,30,
384,Flash Text MINIMAL T=0.7,40,0.5111,0.4531,0.566,0.3563,0.3034,0.4107,0.9036,0.8725,0.9328,30,
384,Flash Text MINIMAL T=0.7,50,0.5134,0.4555,0.5685,0.358,0.3048,0.4126,0.9077,0.877,0.9364,30,
384,Pro Image HIGH T=0.0,20,0.5276,0.4799,0.5731,0.4317,0.3834,0.4784,0.6782,0.613,0.7452,3,
384,Pro Image HIGH T=0.0,30,0.5902,0.5402,0.6353,0.4829,0.4309,0.5325,0.7586,0.6907,0.8224,3,
384,Pro Image HIGH T=0.0,40,0.6265,0.5757,0.6712,0.5127,0.459,0.561,0.8054,0.7366,0.8713,3,
384,Pro Image HIGH T=0.0,50,0.6337,0.5833,0.6775,0.5185,0.4645,0.5674,0.8146,0.7456,0.8803,3,
384,Pro Image HIGH T=0.7,20,0.5908,0.5428,0.6345,0.5207,0.4723,0.5664,0.6828,0.6313,0.7314,5,
384,Pro Image HIGH T=0.7,30,0.7412,0.7023,0.7761,0.6532,0.6078,0.6947,0.8566,0.8192,0.8906,5,
384,Pro Image HIGH T=0.7,40,0.7925,0.7581,0.8236,0.6985,0.6534,0.7389,0.9158,0.8873,0.9419,5,
384,Pro Image HIGH T=0.7,50,0.8092,0.7763,0.8391,0.7132,0.6686,0.7538,0.9351,0.9101,0.9579,5,
384,Pro Image MEDIUM T=0.0,20,0.6059,0.5564,0.6507,0.5568,0.5075,0.6027,0.6644,0.606,0.721,1,
384,Pro Image MEDIUM T=0.0,30,0.7338,0.6923,0.7724,0.6744,0.6284,0.7183,0.8046,0.747,0.8591,1,
384,Pro Image MEDIUM T=0.0,40,0.7631,0.7238,0.8,0.7013,0.6559,0.7435,0.8368,0.7838,0.8896,1,
384,Pro Image MEDIUM T=0.0,50,0.7778,0.7398,0.8118,0.7148,0.67,0.7561,0.8529,0.799,0.9022,1,
384,Pro Image MEDIUM T=0.7,20,0.452,0.4006,0.4959,0.3305,0.2813,0.373,0.7149,0.6676,0.7631,1,
384,Pro Image MEDIUM T=0.7,30,0.5378,0.4812,0.5813,0.3932,0.3371,0.4401,0.8506,0.8136,0.884,1,
384,Pro Image MEDIUM T=0.7,40,0.5669,0.5091,0.6115,0.4145,0.3541,0.4635,0.8966,0.8648,0.9253,1,
384,Pro Image MEDIUM T=0.7,50,0.5858,0.5233,0.6311,0.4283,0.3672,0.4781,0.9264,0.8981,0.9527,1,
